"step","episode_reward","collision_rate","queue_total_active","queue_total_active_p95","queue_total_active_p99","r_queue_pen","r_queue_delta","r_collision_penalty","r_term_accel","action_std_mean","log_std_mean"
"0","-0.021765926675688895","0.00125","909.2992057291667","0.0","0.0","0.0006796898955551804","0.0035416666666666665","-0.00625","-0.015802361053470482","0.9969783425331116","-0.0030264402739703655"
"1","-0.024814628716762616","0.0008333333333333334","2341.358564453125","0.0","0.0","0.001159083806245423","0.003333333333333334","-0.004166666666666667","-0.01572379065430843","0.9940125942230225","-0.0060054585337638855"
"2","-0.029998456237767167","0.0010416666666666667","3256.8728743489582","0.0","0.0","0.0015433124571166811","0.003125","-0.005208333333333333","-0.015606998333266956","0.99006187915802","-0.009988791309297085"
"3","-0.03683434821781308","0.001875","3956.089228515625","0.0","0.0","0.001976451656784263","0.003958333333333333","-0.009375","-0.015611498316637069","0.9857265949249268","-0.014376578852534294"
"4","-0.018607886771564483","0.0014583333333333334","327.14072265625","0.0","0.0","0.00024456168646916034","0.0033333333333333335","-0.007291666666666667","-0.015537269906872861","0.9817022085189819","-0.01846739463508129"
"5","-0.025697196053732344","0.0016666666666666668","1529.4680110677084","0.0","0.0","0.0008428844860165513","0.003388256075912526","-0.008333333333333333","-0.01571153001205855","0.9795944690704346","-0.020616944879293442"
"6","-0.034728598339959206","0.0010416666666666667","3891.537610677083","0.0","0.0","0.0019705760958546904","0.0029166666666666672","-0.005208333333333333","-0.01564783738141256","0.9784994721412659","-0.021739281713962555"
"7","-0.03134210267335629","0.0014583333333333334","2659.3877864583333","0.0","0.0","0.0015047814698949953","0.0033333333333333335","-0.007291666666666667","-0.015669287974406334","0.9763802886009216","-0.02390417829155922"
"8","-0.028630202921339335","0.001875","2160.3390559895834","0.0","0.0","0.0011107009159633027","0.00375","-0.009375","-0.015648193761706286","0.9739993214607239","-0.02634490467607975"
"9","-0.029787536767853156","0.0014583333333333334","2803.87474609375","0.0","0.0","0.00143286530711886","0.00375","-0.007291666666666667","-0.01566721702999781","0.9717477560043335","-0.028659015893936157"
"10","-0.03043254723168222","0.0020833333333333333","2223.7736783854166","0.0","0.0","0.0012298052899755653","0.003958333333333334","-0.010416666666666666","-0.0156344943319266","0.9674237370491028","-0.033118803054094315"
"11","-0.022049307925587406","0.000625","1812.6015364583334","0.0","0.0","0.0008747696647875854","0.0027083333333333334","-0.003125","-0.01559327794437821","0.9652013778686523","-0.03541877493262291"
"12","-0.03387711096750805","0.0010416666666666667","3467.985345052083","0.0","0.0","0.0019059469552509915","0.002916666666666667","-0.005208333333333333","-0.015442641414998164","0.9629791975021362","-0.03772389888763428"
