scenario,kind,method,update,n,reward_sum_mean,reward_sum_min,reward_sum_max,reward_sum_std,processed_ratio_eval_mean,processed_ratio_eval_min,processed_ratio_eval_max,processed_ratio_eval_std,drop_ratio_eval_mean,drop_ratio_eval_min,drop_ratio_eval_max,drop_ratio_eval_std,gu_drop_ratio_mean,gu_drop_ratio_min,gu_drop_ratio_max,gu_drop_ratio_std,uav_drop_ratio_mean,uav_drop_ratio_min,uav_drop_ratio_max,uav_drop_ratio_std,sat_drop_ratio_mean,sat_drop_ratio_min,sat_drop_ratio_max,sat_drop_ratio_std,pre_backlog_steps_eval_mean,pre_backlog_steps_eval_min,pre_backlog_steps_eval_max,pre_backlog_steps_eval_std,D_sys_report_mean,D_sys_report_min,D_sys_report_max,D_sys_report_std,queue_total_mean_mean,queue_total_mean_min,queue_total_mean_max,queue_total_mean_std,gu_queue_mean_mean,gu_queue_mean_min,gu_queue_mean_max,gu_queue_mean_std,uav_queue_mean_mean,uav_queue_mean_min,uav_queue_mean_max,uav_queue_mean_std,sat_queue_mean_mean,sat_queue_mean_min,sat_queue_mean_max,sat_queue_mean_std,sat_overlap_eval_mean,sat_overlap_eval_min,sat_overlap_eval_max,sat_overlap_eval_std,collision_episode_fraction_mean,collision_episode_fraction_min,collision_episode_fraction_max,collision_episode_fraction_std,terminated_early_mean,terminated_early_min,terminated_early_max,terminated_early_std,episode_length_mean,episode_length_min,episode_length_max,episode_length_std,outflow_arrival_ratio_mean,outflow_arrival_ratio_min,outflow_arrival_ratio_max,outflow_arrival_ratio_std,sat_processed_arrival_ratio_mean,sat_processed_arrival_ratio_min,sat_processed_arrival_ratio_max,sat_processed_arrival_ratio_std,access_sum_mean,access_sum_min,access_sum_max,access_sum_std,backhaul_sum_mean,backhaul_sum_min,backhaul_sum_max,backhaul_sum_std,sat_processed_sum_mean,sat_processed_sum_min,sat_processed_sum_max,sat_processed_sum_std
6uav40gu_density_ctrl_map2121_mindist700,baseline,cluster_center_queue_aware,,3,35.38573784866215,34.38929447485134,36.02474782394711,0.7139075057052545,0.6210136520403255,0.6115649942778801,0.6270370896614577,0.006764886481036911,0.3086695049794432,0.29605556879732253,0.3256382931706672,0.012463491949241573,0.30027185433831466,0.28703894514751116,0.3185765199861603,0.013365295653183555,0.008397730400363441,0.007061987675420273,0.009114674328620643,0.0009453622188141192,0.0,0.0,0.0,0.0,12.220310573879113,11.89231109689627,12.477147447871559,0.2440033830418475,21.161325115110913,20.87413316264982,21.5674887873431,0.29529782497496804,977627750.0020014,951386654.9350784,998173720.7552891,19520642.28326865,12306346.439099578,12172384.638345782,12437936.794878703,108424.1817224434,80895162.81259622,76506026.95543438,83442385.2937778,3116916.255204577,20.246462962962962,12.346055555555555,34.942055555555555,10.40114449714454,0.7511195977672399,0.7468661402661345,0.7571865988386989,0.004404139832640951,0.046875,0.03125,0.078125,0.02209708691207961,0.046875,0.03125,0.078125,0.02209708691207961,241.75,234.734375,245.9375,4.991741226140434,0.671024737454867,0.6585350214038178,0.6791313725363104,0.008961434746840568,0.6210137471982567,0.6115653583762691,0.6270370530647844,0.0067646990114118705,,,,,12089048533.510416,11913267688.71875,12272031902.90625,146553397.81321758,12089048535.427084,11913267689.96875,12272031905.65625,146553398.42931566
6uav40gu_density_ctrl_map2121_mindist700,baseline,maxweight_lyapunov,,3,31.540679165472586,30.702814355841838,32.506687967455946,0.7419818792717608,0.5361983494628232,0.5296195195852652,0.5418420703965221,0.005033455316586075,0.40227168545119146,0.3890263682799978,0.4143747968382244,0.010379922386765298,0.4003380893048664,0.3876298296952737,0.41154872567742745,0.009822102720271437,0.0019336142726041887,0.0013962573980112526,0.0028263450553065407,0.0006356128999167133,0.0,0.0,0.0,0.0,10.985397252450218,10.845686942091781,11.073229023261545,0.09987454405376983,21.361146193879055,20.893398101716812,21.606841030198332,0.33088864126059025,878831770.1087805,867654945.1294616,885858311.7717966,7989963.620401325,16732421.42406247,16520715.690863175,17013235.08322816,206923.12104970397,34922485.565764055,33520400.898711212,37025571.01624956,1514398.8822853891,0.0,0.0,0.0,0.0,0.9902557439422169,0.9898727900858353,0.9907088998565701,0.0003449310403420173,0.14583333333333334,0.078125,0.203125,0.05155986946151909,0.14583333333333334,0.078125,0.203125,0.05155986946151909,238.125,231.078125,245.328125,5.818587202341304,0.5599255040934862,0.5543044224806313,0.5653606271843933,0.0045155915848524965,0.5361984670332189,0.5296198618879696,0.541841964530684,0.005033273817769776,,,,,10286313867.770834,10154176998.53125,10432014762.140625,113831579.69902854,10286313867.770834,10154176998.53125,10432014762.140625,113831579.69902854
6uav40gu_density_ctrl_map2121_mindist700,baseline,static_uniform,,3,29.41087867843453,29.06372010067571,29.690416814526543,0.26027752609636845,0.347915094637312,0.3365148551934399,0.3580769040281884,0.00884612040143936,0.5903098300511774,0.5823125231300452,0.6050793160531012,0.01045557338223847,0.5899428798132386,0.5814991715746505,0.60507974385581,0.010727211449985308,0.00036698282711511557,0.0,0.0008134963248817964,0.0003368361751452904,0.0,0.0,0.0,0.0,12.554982490055261,12.309878584150223,12.737863429285582,0.18017867077383057,40.400929127543556,40.092651903945956,40.663432546582094,0.23525740001097878,1004398587.5760416,984790275.256625,1019029062.4663745,14414293.519545408,24336391.727349475,24041450.69201562,24741857.43825937,296427.8219953173,5157153.084,3855374.584,6723623.830666665,1185821.7753482345,0.0,0.0,0.0,0.0,0.48726321219342456,0.48673335093632336,0.4875854344926775,0.0003775774087208231,0.005208333333333333,0.0,0.015625,0.00736569563735987,0.005208333333333333,0.0,0.015625,0.00736569563735987,248.703125,246.109375,250.0,1.8340582137026076,0.349743808153153,0.33795370135393976,0.36072252339308764,0.009313022476061781,0.3479151755997844,0.3365150462402641,0.35807693630861787,0.008846051605705067,,,,,6914260852.6640625,6730297023.5703125,7161537996.6875,181656500.22190058,6914260852.6640625,6730297023.5703125,7161537996.6875,181656500.22190058
6uav40gu_density_ctrl_map2121_mindist700,learned,bootstrap_seed45210_best_u0375,seed45210_u0375,3,37.16598737123422,36.684309325530194,37.55476746708155,0.36138332913398497,0.5904527073144422,0.5757676102435214,0.5998739991048239,0.010521730862256934,0.3360180345709411,0.32492417575903765,0.35468598283012964,0.013278213063783134,0.33129090421252233,0.320090554562734,0.3497920276375781,0.013178779634754912,0.0047271807976087266,0.004453945361281301,0.00489417476468162,0.00019479205878161727,0.0,0.0,0.0,0.0,10.668828893998757,10.444334477365999,10.805604690719395,0.15999991452824303,19.38754533607043,18.76171559933095,20.074712570849808,0.5377806109705382,853527098.5612688,835591555.8474724,864456372.8762503,12783068.572226835,12090453.268715896,11960734.101599317,12295577.492009379,146729.83313584194,61648028.521026455,59519564.12933333,63320310.489746034,1584822.813717694,144.42155555555556,55.60816666666667,311.1603333333333,117.98588092683057,0.9409253693773573,0.9393288720472321,0.9422951495475084,0.0012215430283405997,0.015625,0.0,0.03125,0.01275775907699572,0.015625,0.0,0.03125,0.01275775907699572,247.44791666666666,243.625,250.0,2.7533518083520594,0.6406821320236306,0.6256335826624303,0.6503532338845219,0.010784340355329932,0.5904527705652626,0.5757680038219315,0.5998740025634411,0.01052151422376987,,,,,11720463876.572916,11515397674.234375,11941244592.6875,174206025.43428987,11720153426.364584,11515352068.734375,11941244585.5625,174251020.46355456
6uav40gu_density_ctrl_map2121_mindist700,learned,bootstrap_seed45211_best_u0375,seed45211_u0375,3,34.16554127637452,32.466870498261414,35.40286015078891,1.242213882341243,0.5104836523661523,0.5033159038152847,0.5179659272610824,0.005984980749422529,0.39164152849223105,0.3825306957160538,0.40379200776824675,0.00894205180325583,0.3820448346381511,0.37375639222250495,0.3930063801659169,0.00808288806229532,0.00959671204150169,0.0087740202684841,0.010785949094734952,0.0008612901107490135,0.0,0.0,0.0,0.0,12.181611211976346,11.613793209833137,12.47563169816485,0.40159283260511375,25.491033123812212,24.034475195662974,26.449316015687103,1.046923287652715,974630250.4811713,929208364.2113979,998078312.2004751,32123762.31634624,12970202.0049775,12749120.72090661,13238472.80520505,202544.65092604829,75953467.61228867,69856436.18064994,80188337.53665051,4418731.380303582,703.9208218078219,192.96846969696975,1190.1962777777776,407.4903166168693,0.9996638889362415,0.9989916668087243,1.0,0.00047533282483100826,0.08333333333333333,0.046875,0.140625,0.04101045767714485,0.08333333333333333,0.046875,0.140625,0.04101045767714485,236.75,225.09375,245.375,8.552724042178998,0.5806724781898622,0.5749813832369645,0.5917728410962438,0.007849985099961598,0.5104837636860787,0.5033163487538637,0.5179659652144429,0.005984821554641663,,,,,9786579008.234375,9448643042.609375,10221895816.484375,323101877.0801884,9786579014.005209,9448643058.921875,10221895814.359375,323101870.12475187
6uav40gu_density_ctrl_map2121_mindist700,learned,bootstrap_seed61723_best_u0325,seed61723_u0325,3,34.67849748787315,33.99326540727634,35.27623652899638,0.5274119191922872,0.5196340989724619,0.5073044445342384,0.5260119178449422,0.008720116565310682,0.41610129829116277,0.4022617590834862,0.43493158073250104,0.013796375131723656,0.414597160092415,0.40099534130022196,0.4330089411309153,0.013504800285777871,0.001504199072548216,0.0012662026195481727,0.0019228979704244674,0.00029698734670443916,0.0,0.0,0.0,0.0,11.08019787309984,10.961117406023781,11.15787017785134,0.0854942112495714,22.43266449026301,21.828199064717754,23.089697435367857,0.5163442281222228,886415985.6027988,876889783.9158058,892629623.9760904,6839368.784778069,14178852.643812655,13962421.184423933,14355529.810476534,162929.22965054552,53210285.602561206,53065422.54714145,53497365.73733331,202999.18412465876,1.1547777777777777,0.14166666666666666,2.7879444444444443,1.165918289953347,0.8774639750420651,0.8730590474199257,0.8804479222670195,0.0031794398713601785,0.026041666666666668,0.0,0.046875,0.01948779888944761,0.026041666666666668,0.0,0.046875,0.01948779888944761,245.55729166666666,240.328125,250.0,3.9874953739959236,0.5487939097775629,0.5360190869450658,0.555882419121986,0.009051283964394516,0.5196341994711168,0.5073048024799384,0.526012050537729,0.00871993718032012,,,,,10265671538.299479,10146088771.234375,10429633931.351562,119935059.81301852,10265671537.966146,10146088770.984375,10429633931.726562,119935060.20575513
6uav40gu_density_ctrl_resource_2x,baseline,cluster_center_queue_aware,,3,40.976359375015214,40.0137575562112,41.59999784396496,0.6905126969779268,0.7782278585741458,0.7615109695565964,0.7874622674603383,0.011842243520811533,0.15907201139451826,0.14880043341035867,0.17817085200898794,0.01351778572407549,0.09653031788064263,0.0893589925767638,0.10901674180613441,0.008861695895230174,0.06254178107641503,0.057585172136120265,0.06915424041845705,0.004866019293362744,0.0,0.0,0.0,0.0,11.277564801231522,10.780215958574157,11.625332704229438,0.3608660153748626,15.990639290627902,15.027894842102574,16.90789342647581,0.7681799683763169,906780372.4687575,867427079.7543813,935618677.0937724,28814894.502831586,6768791.792502094,6508773.346905432,7167588.1680169385,286302.5526761606,105242250.34690125,100344388.76723373,108161849.14954247,3484567.349372332,31772.213028160073,21692.44058387799,38833.831333333335,7316.13559250798,0.8825941032065011,0.8657666787374766,0.8995562608074397,0.01379486810081486,0.046875,0.03125,0.078125,0.02209708691207961,0.046875,0.03125,0.078125,0.02209708691207961,241.75,234.734375,245.9375,4.991741226140434,0.8895477627985439,0.8788684036225588,0.9001772564733546,0.008699374206626288,0.7782280036201414,0.7615113919050552,0.7874621897559845,0.01184204364926462,,,,,15149688251.242188,14951233820.914062,15435685230.984375,207237489.60747698,15115163337.242188,14917607013.539062,15408094110.703125,211292234.2334762
6uav40gu_density_ctrl_resource_2x,baseline,maxweight_lyapunov,,3,35.47091220835379,34.77815143472981,36.08456755906809,0.5362673608273243,0.7043775024467909,0.689115406211147,0.7134837116121693,0.01085893752463135,0.24761686738284291,0.23632574783226654,0.26489567238640943,0.012408315224620318,0.23117981471398064,0.2236287460341669,0.24616637736069077,0.01059720511428657,0.01643697730448269,0.012581165426541025,0.018729373689833805,0.0027426650316871885,0.0,0.0,0.0,0.0,9.126590144841245,8.61623754570101,9.386158716239022,0.3608916029675235,13.95456139666013,13.01347887657258,14.53443028401844,0.6714063659240325,730726099.5497602,690083896.4725826,751295053.5576962,28739089.91914987,11447840.251601279,11205084.201121729,11680842.189580308,194349.8099279459,45368932.151173115,40182604.611544825,48647691.717940904,3709765.1864622193,4159.003416624964,2794.202968976498,5450.699461298389,1085.7414037514889,0.9916458109948256,0.9898018642648078,0.9934448182416457,0.0014875691775964183,0.16666666666666666,0.140625,0.203125,0.02655739329996242,0.16666666666666666,0.140625,0.203125,0.02655739329996242,240.046875,233.75,244.296875,4.542496818243245,0.741681496597456,0.7269723885292128,0.7514161380285305,0.010580901383769301,0.7043775366172894,0.6891158031088932,0.7134833936138427,0.010858667151973474,,,,,13567434415.588541,13367106901.703125,13904155296.09375,239523982.54704788,13563723572.328125,13365480723.265625,13898676628.71875,238176025.92588064
6uav40gu_density_ctrl_resource_2x,baseline,static_uniform,,3,32.8536382864307,32.534590434632264,33.24768898508046,0.29591266272295197,0.5010424309355828,0.48407967373542493,0.5121183704761789,0.01218012302476698,0.45273327161735705,0.44248002172042655,0.4726740659251763,0.014102162101235919,0.44924914457744,0.43844573581002266,0.4693637471718298,0.01423621214848012,0.0034841629307954566,0.003107404378530711,0.0040344014553151016,0.0003978294196192399,0.0,0.0,0.0,0.0,9.805998045574098,9.606119467930869,9.974961042150856,0.15215749862730535,22.92263989514997,22.16158033495302,23.487052206056664,0.5587017843547768,784521902.6207293,768516626.4003125,798056748.4906876,12185564.48879619,17361328.07216042,17281787.240364067,17501150.819335938,99181.74205693553,15004451.920444444,12741283.720000003,17787564.04933333,2092684.489214559,292.14025925925927,188.04033333333336,415.7955,94.00323306131608,0.48726321219342456,0.48673335093632336,0.4875854344926775,0.0003775774087208231,0.005208333333333333,0.0,0.015625,0.00736569563735987,0.005208333333333333,0.0,0.015625,0.00736569563735987,248.703125,246.109375,250.0,1.8340582137026076,0.509418357844647,0.49141102007054105,0.5219844893931445,0.013061120434256846,0.5010425398651233,0.48407992680047796,0.5121184202336769,0.012180024490323233,,,,,9957969905.705729,9681593357.257812,10242367287.132812,229005240.73788154,9957969904.216146,9681593360.789062,10242367290.039062,229005240.64771253
6uav40gu_density_ctrl_resource_2x,learned,bootstrap_seed45210_best_u0375,seed45210_u0375,3,42.62260588999683,41.76391103095375,43.21146170201246,0.6209995006955247,0.7655280030679469,0.7541809046038016,0.7716836143926175,0.008033258638409623,0.16077745299940438,0.154026289926372,0.17188649623103053,0.007915810420449282,0.11191790741957915,0.10567913408641266,0.11819433288089994,0.005109377879836894,0.04885957001146001,0.04453917257213174,0.05369226166651733,0.0037542503925588303,0.0,0.0,0.0,0.0,10.889499821181829,10.113698545809315,11.358353978754675,0.5525421169674112,16.092655268035355,15.052048193605206,16.859079281818087,0.7627680300508344,904051648.0047517,851142518.8698198,935034963.4469488,37594694.16329962,6575035.182569982,6211709.388720835,6930779.658497664,293608.1521407973,101359761.37639196,93437916.41022226,105401847.48385966,5601982.285164429,228414.39228320777,183101.7788312673,291990.5877932099,46291.55431596042,0.96570376646297,0.9647229200564325,0.9664428894207011,0.0007226785005716988,0.03125,0.015625,0.046875,0.01275775907699572,0.03125,0.015625,0.046875,0.01275775907699572,244.83333333333334,242.796875,246.6875,1.5935627613324665,0.8724654300533664,0.8646874915824517,0.8809541730351524,0.006659838019072014,0.7655281172500215,0.754181217856071,0.7716838299172322,0.008033126081619229,,,,,15154626227.317709,14805667008.390625,15363101366.21875,248307736.9950253,15056662366.369791,14698151374.109375,15293566871.125,257838459.60097668
