method,training_seed,update,best_reward
STARS,10331,25,31.37455222918652
STARS,10331,50,33.309123267419636
STARS,10331,75,33.95475322660059
STARS,10331,100,37.2267592549324
STARS,10331,125,38.78819508920424
STARS,10331,150,43.93498141923919
STARS,10331,175,47.99482211191207
STARS,10331,200,48.555593023542315
STARS,10331,225,51.83007223252207
STARS,10331,250,51.83007223252207
STARS,10331,275,54.58629522146657
STARS,10331,300,55.44455191399902
STARS,10331,325,57.55877107894048
STARS,10331,350,57.882473608944565
STARS,10331,375,58.15919920941815
STARS,10331,400,59.101303671253845
STARS,10331,425,60.44493439607322
STARS,10331,450,60.75946524483152
STARS,10331,475,60.75946524483152
STARS,10331,500,61.425332826096565
STARS,10331,525,61.673018692526966
STARS,21893,25,34.85233524488285
STARS,21893,50,34.85233524488285
STARS,21893,75,34.85233524488285
STARS,21893,100,37.06444992590696
STARS,21893,125,39.02380217146128
STARS,21893,150,46.468752381857485
STARS,21893,175,52.083523128181696
STARS,21893,200,59.88539595808834
STARS,21893,225,64.61982039827853
STARS,21893,250,66.90063057234511
STARS,21893,275,66.90063057234511
STARS,21893,300,66.90063057234511
STARS,21893,325,66.90063057234511
STARS,21893,350,66.90063057234511
STARS,21893,375,67.49797852896154
STARS,21893,400,67.49797852896154
STARS,21893,425,67.49797852896154
STARS,21893,450,67.49797852896154
STARS,21893,475,67.49797852896154
STARS,21893,500,67.49797852896154
STARS,21893,525,67.49797852896154
STARS,36467,25,32.856856361730024
STARS,36467,50,33.21237131394446
STARS,36467,75,35.05151421064511
STARS,36467,100,38.09072755090892
STARS,36467,125,40.884289535693824
STARS,36467,150,46.65252727037296
STARS,36467,175,58.5490104611963
STARS,36467,200,59.9760014063213
STARS,36467,225,63.790161720477045
STARS,36467,250,65.62146870978177
STARS,36467,275,65.62146870978177
STARS,36467,300,65.89688278501853
STARS,36467,325,66.23646574793383
STARS,36467,350,66.23646574793383
STARS,36467,375,66.4688143399544
STARS,36467,400,66.4688143399544
STARS,36467,425,66.4688143399544
STARS,36467,450,66.4688143399544
STARS,36467,475,66.4688143399544
STARS,36467,500,66.4688143399544
STARS,36467,525,66.4688143399544
STARS,45211,25,33.60261772107333
STARS,45211,50,33.78721377369948
STARS,45211,75,35.751332383137196
STARS,45211,100,36.56362288817763
STARS,45211,125,41.85509391780943
STARS,45211,150,46.7067605224438
STARS,45211,175,64.05308899004012
STARS,45211,200,66.93409711262211
STARS,45211,225,69.19868649216369
STARS,45211,250,69.19868649216369
STARS,45211,275,69.19868649216369
STARS,45211,300,69.19868649216369
STARS,45211,325,69.19868649216369
STARS,45211,350,69.19868649216369
STARS,45211,375,69.19868649216369
STARS,45211,400,69.19868649216369
STARS,45211,425,69.19868649216369
STARS,45211,450,69.19868649216369
STARS,45211,475,69.19868649216369
STARS,45211,500,69.19868649216369
STARS,45211,525,69.19868649216369
STARS,48761,25,32.41026148479432
STARS,48761,50,34.84920296748169
STARS,48761,75,35.624815894290805
STARS,48761,100,40.13245147606358
STARS,48761,125,46.26709627127275
STARS,48761,150,52.608456830494106
STARS,48761,175,60.51565460301936
STARS,48761,200,63.39147747284733
STARS,48761,225,65.31300323316827
STARS,48761,250,68.16694886004552
STARS,48761,275,68.16694886004552
STARS,48761,300,69.72303885780275
STARS,48761,325,70.11337809590623
STARS,48761,350,70.11337809590623
STARS,48761,375,70.11337809590623
STARS,48761,400,70.11337809590623
STARS,48761,425,70.52382178604603
STARS,48761,450,70.52382178604603
STARS,48761,475,70.52382178604603
STARS,48761,500,70.52382178604603
STARS,48761,525,70.52382178604603
STARS,59023,25,33.246832960052416
STARS,59023,50,35.10987741034478
STARS,59023,75,36.19002791098319
STARS,59023,100,41.1957175093703
STARS,59023,125,52.80576604930684
STARS,59023,150,56.29732597852126
STARS,59023,175,56.66194754792377
STARS,59023,200,61.17531493213028
STARS,59023,225,64.82519772276282
STARS,59023,250,64.82519772276282
STARS,59023,275,65.85489753261209
STARS,59023,300,65.85489753261209
STARS,59023,325,66.10083824489266
STARS,59023,350,66.10083824489266
STARS,59023,375,66.10083824489266
STARS,59023,400,66.10083824489266
STARS,59023,425,66.10083824489266
STARS,59023,450,66.10083824489266
STARS,59023,475,66.10083824489266
STARS,59023,500,66.10083824489266
STARS,59023,525,66.10083824489266
STARS,64217,25,32.98084182711318
STARS,64217,50,35.18824144685641
STARS,64217,75,36.36515255388804
STARS,64217,100,36.61076151486486
STARS,64217,125,46.74206483224407
STARS,64217,150,48.31286048097536
STARS,64217,175,50.76335715735331
STARS,64217,200,51.56318225013092
STARS,64217,225,52.307919731829315
STARS,64217,250,52.41793130664155
STARS,64217,275,54.72720710095018
STARS,64217,300,55.33725196681917
STARS,64217,325,55.33725196681917
STARS,64217,350,56.47425719629973
STARS,64217,375,57.48367931134999
STARS,64217,400,57.48367931134999
STARS,64217,425,58.87060078466311
STARS,64217,450,58.87060078466311
STARS,64217,475,58.87060078466311
STARS,64217,500,58.87060078466311
STARS,64217,525,58.87060078466311
STARS,73129,25,31.440000735688955
STARS,73129,50,33.77823383943178
STARS,73129,75,35.41415097145364
STARS,73129,100,35.99225600785576
STARS,73129,125,41.96607609279454
STARS,73129,150,44.19504190376029
STARS,73129,175,60.91548627568409
STARS,73129,200,65.08233101293445
STARS,73129,225,65.12398983025923
STARS,73129,250,65.92975777387619
STARS,73129,275,69.88882738631219
STARS,73129,300,69.88882738631219
STARS,73129,325,69.88882738631219
STARS,73129,350,69.88882738631219
STARS,73129,375,69.88882738631219
STARS,73129,400,69.88882738631219
STARS,73129,425,69.88882738631219
STARS,73129,450,69.88882738631219
STARS,73129,475,69.88882738631219
STARS,73129,500,69.88882738631219
STARS,73129,525,69.88882738631219
STARS,87539,25,33.05297808232717
STARS,87539,50,35.21938907424919
STARS,87539,75,35.78627571091056
STARS,87539,100,37.6964919953607
STARS,87539,125,42.67822157870978
STARS,87539,150,49.047977621201426
STARS,87539,175,58.11540406616405
STARS,87539,200,63.197351647075266
STARS,87539,225,64.50723668374121
STARS,87539,250,64.83755566226318
STARS,87539,275,64.83755566226318
STARS,87539,300,65.73016053019091
STARS,87539,325,65.73016053019091
STARS,87539,350,65.73016053019091
STARS,87539,375,65.73016053019091
STARS,87539,400,65.73016053019091
STARS,87539,425,65.73016053019091
STARS,87539,450,65.73016053019091
STARS,87539,475,65.73016053019091
STARS,87539,500,65.73016053019091
STARS,87539,525,65.73016053019091
STARS,91457,25,33.14110745838843
STARS,91457,50,34.42431807122193
STARS,91457,75,35.67609185143374
STARS,91457,100,40.13830957422033
STARS,91457,125,41.237186406739056
STARS,91457,150,49.83360035135411
STARS,91457,175,53.523879397660494
STARS,91457,200,55.61046629725024
STARS,91457,225,58.27494512335397
STARS,91457,250,58.27494512335397
STARS,91457,275,58.27494512335397
STARS,91457,300,58.27494512335397
STARS,91457,325,59.429555382113904
STARS,91457,350,59.889969263225794
STARS,91457,375,60.29011771688238
STARS,91457,400,63.825984227936715
STARS,91457,425,63.825984227936715
STARS,91457,450,63.825984227936715
STARS,91457,475,66.79492760589346
STARS,91457,500,66.79492760589346
STARS,91457,525,67.13627109583467
STARS-GC,10331,25,32.77783245570026
STARS-GC,10331,50,33.49802487320267
STARS-GC,10331,75,34.78743548039347
STARS-GC,10331,100,36.422604308696464
STARS-GC,10331,125,36.860436477465555
STARS-GC,10331,150,36.860436477465555
STARS-GC,10331,175,36.860436477465555
STARS-GC,10331,200,36.860436477465555
STARS-GC,10331,225,36.860436477465555
STARS-GC,10331,250,36.860436477465555
STARS-GC,10331,275,36.860436477465555
STARS-GC,10331,300,36.860436477465555
STARS-GC,10331,325,36.860436477465555
STARS-GC,10331,350,36.860436477465555
STARS-GC,10331,375,36.860436477465555
STARS-GC,10331,400,36.860436477465555
STARS-GC,10331,425,36.860436477465555
STARS-GC,10331,450,36.860436477465555
STARS-GC,10331,475,36.860436477465555
STARS-GC,10331,500,36.860436477465555
STARS-GC,10331,525,36.860436477465555
STARS-GC,21893,25,25.86950824293308
STARS-GC,21893,50,26.732844426762313
STARS-GC,21893,75,26.82295819511637
STARS-GC,21893,100,26.82295819511637
STARS-GC,21893,125,26.82295819511637
STARS-GC,21893,150,26.82295819511637
STARS-GC,21893,175,26.82295819511637
STARS-GC,21893,200,26.82295819511637
STARS-GC,21893,225,26.82295819511637
STARS-GC,21893,250,26.82295819511637
STARS-GC,21893,275,26.82295819511637
STARS-GC,21893,300,26.82295819511637
STARS-GC,21893,325,26.82295819511637
STARS-GC,21893,350,26.82295819511637
STARS-GC,21893,375,26.82295819511637
STARS-GC,21893,400,26.82295819511637
STARS-GC,21893,425,26.82295819511637
STARS-GC,21893,450,26.82295819511637
STARS-GC,21893,475,26.82295819511637
STARS-GC,21893,500,26.82295819511637
STARS-GC,21893,525,26.82295819511637
STARS-GC,36467,25,32.59115854580887
STARS-GC,36467,50,34.126361516537145
STARS-GC,36467,75,34.126361516537145
STARS-GC,36467,100,35.09097934514284
STARS-GC,36467,125,37.085585882654414
STARS-GC,36467,150,39.78471305570565
STARS-GC,36467,175,39.78471305570565
STARS-GC,36467,200,40.23999267118052
STARS-GC,36467,225,40.23999267118052
STARS-GC,36467,250,40.23999267118052
STARS-GC,36467,275,40.23999267118052
STARS-GC,36467,300,40.23999267118052
STARS-GC,36467,325,40.23999267118052
STARS-GC,36467,350,40.23999267118052
STARS-GC,36467,375,40.23999267118052
STARS-GC,36467,400,40.23999267118052
STARS-GC,36467,425,40.23999267118052
STARS-GC,36467,450,40.23999267118052
STARS-GC,36467,475,40.23999267118052
STARS-GC,36467,500,40.23999267118052
STARS-GC,36467,525,40.23999267118052
STARS-GC,45211,25,31.102896243100982
STARS-GC,45211,50,34.372288265265524
STARS-GC,45211,75,34.53609388880432
STARS-GC,45211,100,36.37528788577765
STARS-GC,45211,125,37.3728075157851
STARS-GC,45211,150,40.4968022252433
STARS-GC,45211,175,60.30270658666268
STARS-GC,45211,200,65.22241768520325
STARS-GC,45211,225,65.22241768520325
STARS-GC,45211,250,66.59770894609392
STARS-GC,45211,275,66.59770894609392
STARS-GC,45211,300,66.59770894609392
STARS-GC,45211,325,66.59770894609392
STARS-GC,45211,350,66.59770894609392
STARS-GC,45211,375,66.59770894609392
STARS-GC,45211,400,66.59770894609392
STARS-GC,45211,425,66.59770894609392
STARS-GC,45211,450,66.59770894609392
STARS-GC,45211,475,66.59770894609392
STARS-GC,45211,500,66.59770894609392
STARS-GC,45211,525,66.59770894609392
STARS-GC,48761,25,33.022908869665116
STARS-GC,48761,50,33.94162606121972
STARS-GC,48761,75,33.94162606121972
STARS-GC,48761,100,34.281461387174204
STARS-GC,48761,125,34.754749233601615
STARS-GC,48761,150,35.85701136151329
STARS-GC,48761,175,38.367147385375574
STARS-GC,48761,200,38.367147385375574
STARS-GC,48761,225,38.367147385375574
STARS-GC,48761,250,38.367147385375574
STARS-GC,48761,275,38.367147385375574
STARS-GC,48761,300,38.367147385375574
STARS-GC,48761,325,38.367147385375574
STARS-GC,48761,350,38.367147385375574
STARS-GC,48761,375,38.367147385375574
STARS-GC,48761,400,38.367147385375574
STARS-GC,48761,425,38.367147385375574
STARS-GC,48761,450,38.367147385375574
STARS-GC,48761,475,38.367147385375574
STARS-GC,48761,500,38.367147385375574
STARS-GC,48761,525,38.367147385375574
STARS-GC,59023,25,31.934932108270004
STARS-GC,59023,50,34.26521777547896
STARS-GC,59023,75,34.78041987377219
STARS-GC,59023,100,35.09454406821169
STARS-GC,59023,125,37.69815859012306
STARS-GC,59023,150,41.02673732745461
STARS-GC,59023,175,41.02673732745461
STARS-GC,59023,200,41.02673732745461
STARS-GC,59023,225,41.02673732745461
STARS-GC,59023,250,41.02673732745461
STARS-GC,59023,275,41.02673732745461
STARS-GC,59023,300,41.02673732745461
STARS-GC,59023,325,41.02673732745461
STARS-GC,59023,350,41.02673732745461
STARS-GC,59023,375,41.02673732745461
STARS-GC,59023,400,41.02673732745461
STARS-GC,59023,425,41.02673732745461
STARS-GC,59023,450,41.02673732745461
STARS-GC,59023,475,41.02673732745461
STARS-GC,59023,500,41.02673732745461
STARS-GC,59023,525,41.02673732745461
STARS-GC,64217,25,31.49028482218273
STARS-GC,64217,50,34.2410973967053
STARS-GC,64217,75,34.77619059244171
STARS-GC,64217,100,36.07581355981529
STARS-GC,64217,125,36.07581355981529
STARS-GC,64217,150,37.91738440725021
STARS-GC,64217,175,42.34864286426455
STARS-GC,64217,200,47.85499918740243
STARS-GC,64217,225,53.10381521249656
STARS-GC,64217,250,53.10381521249656
STARS-GC,64217,275,53.10381521249656
STARS-GC,64217,300,53.10381521249656
STARS-GC,64217,325,53.10381521249656
STARS-GC,64217,350,53.10381521249656
STARS-GC,64217,375,53.10381521249656
STARS-GC,64217,400,53.10381521249656
STARS-GC,64217,425,53.10381521249656
STARS-GC,64217,450,53.10381521249656
STARS-GC,64217,475,53.10381521249656
STARS-GC,64217,500,53.10381521249656
STARS-GC,64217,525,53.10381521249656
STARS-GC,73129,25,32.329432767117396
STARS-GC,73129,50,33.70671454165131
