sweep,point_index,multiplier,task_arrival_rate_bits_per_gu_slot,task_arrival_rate_mbit_per_gu_slot,b_acc_hz,b_acc_mhz,b_backhaul_per_sat_hz,b_backhaul_per_sat_mhz,sat_cpu_freq_hz,sat_cpu_freq_gbps_equiv,method_id,paper_label,method_family,n_rows,n_training_seeds,n_eval_seed_bases,episodes_per_eval_seed_base,total_episodes,reward_sum_mean,reward_sum_std,processed_ratio_eval_mean,processed_ratio_eval_std,drop_ratio_eval_mean,drop_ratio_eval_std,pre_backlog_steps_eval_mean,pre_backlog_steps_eval_std,D_sys_report_mean,D_sys_report_std,queue_total_mean_mean,queue_total_mean_std,collision_episode_fraction_mean,collision_episode_fraction_std,sat_overlap_eval_mean,sat_overlap_eval_std,episode_length_mean,episode_length_std,arrival_step_mean_mean,arrival_step_mean_std,outflow_arrival_ratio_mean,outflow_arrival_ratio_std
load,1,0.50,1000000.0,1.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,relcritic,STARS,learned,9,3,3,64.0,576,212.68767099928422,6.556839106547591,0.9945855106101588,0.005008394774164279,0.0025140567132655054,0.0030280427161190945,0.7150343633032242,0.3086407500536369,0.9755014983900241,0.5591437618383897,14300687.10001662,6172814.934657721,0.006944444444444444,0.01135129933213717,0.6030141567116293,0.03223233099275792,248.765625,2.102215860333448,19999991.11739957,56.852403972234335,0.9946008104019438,0.005004239583735257
load,1,0.50,1000000.0,1.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,globalcritic,STARS-GC,learned,9,3,3,64.0,576,90.06795692624291,89.25716681703155,0.7701998755173751,0.1694434705366369,0.16820837355746476,0.1284933465110556,10.449452605112755,7.252397501228707,30.049961959710064,22.632889903006333,208989049.64526913,145047948.32517484,0.09895833333333333,0.06629126073623882,0.8440425326511078,0.10665684084517381,238.28298611111111,7.809794236307053,20000001.75190868,47.73701580097376,0.7703079061281747,0.16945601471540095
load,1,0.50,1000000.0,1.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,cluster_center_queue_aware,QCCS,fixed,3,0,3,64.0,192,97.80251186798948,2.164609329656711,0.9906523247867589,0.002948985996811284,0.0068061149647707375,0.0029586076024835095,1.8097946482104212,0.33250429844301665,2.408138264093654,0.5704021564020874,36195892.53218751,6650085.890991952,0.005208333333333333,0.009021097956087902,0.7618333399947738,0.011937640611909257,248.95833333333334,1.8042195912175805,20000008.082375,29.597253376141577,0.9906544117833215,0.0029481812413189997
load,1,0.50,1000000.0,1.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,maxweight_lyapunov,Lyapunov,fixed,3,0,3,64.0,192,88.93889005226083,5.262002668542815,0.9900653670676209,0.00429692362572403,0.006902881180780848,0.003447025008713995,2.34738516444352,0.7083178115521875,2.9853679086115297,1.03849810633232,46947702.74537499,14166356.066627698,0.0,0.0,0.9987916667386888,0.00038017263548366354,250.0,0.0,20000007.625875,30.369838307806166,0.990064966140504,0.004297100355599054
load,1,0.50,1000000.0,1.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,queue_aware_bw,QBS,fixed,3,0,3,64.0,192,37.455028228267714,1.2822660196529563,0.7320232166082908,0.027389237024601238,0.17716765418852545,0.024940187156238167,17.38680566447492,1.4458114022765076,30.291625083806665,4.984737328524891,347736109.19135416,28916227.75132439,0.005208333333333333,0.009021097956087902,1.0,0.0,248.703125,2.246253391065888,19999981.072041668,75.95346877606544,0.7417546999129528,0.027726032611699813
load,1,0.50,1000000.0,1.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,static_uniform,Uniform,fixed,3,0,3,64.0,192,36.84343903123712,0.6498959208588682,0.7067091775353378,0.025761473349922816,0.20936575315345116,0.024243825654980032,16.802397763028566,1.231057022898321,32.32847971854675,5.603278199711849,336047951.1319583,24621140.317753766,0.005208333333333333,0.009021097956087902,0.48287848269101225,0.001331718320960347,248.703125,2.246253391065888,19999981.072041668,75.95346877606544,0.7068148755168769,0.025772389173572375
load,2,0.75,1500000.0,1.5,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,relcritic,STARS,learned,9,3,3,64.0,576,138.132897698411,4.4319766925677975,0.9778587848305673,0.010772794574470534,0.015199207856355961,0.007851688877836133,2.0152641389763364,0.3987107087869825,2.7156397704662645,0.778944184683556,60457925.604068264,11961321.532454742,0.006944444444444444,0.013779954745128076,0.5544652109906277,0.045703074153823214,248.40451388888889,3.1696078378067707,29999988.13209922,68.44413439259024,0.9781864092697997,0.01088742027830866
load,2,0.75,1500000.0,1.5,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,globalcritic,STARS-GC,learned,9,3,3,64.0,576,67.93109900944789,52.37811522744196,0.7656029117747396,0.15578238383211881,0.19432648577498657,0.13144644136906986,7.894856498601722,4.199939205037553,18.73303408393596,11.898187913745748,236845700.59506297,125998179.13682671,0.08159722222222222,0.06287862743567518,0.8331499865571518,0.11356979610896108,241.60243055555554,7.103530870254087,30000002.492341775,53.86584140020373,0.7659206800905223,0.15579042823892375
load,2,0.75,1500000.0,1.5,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,cluster_center_queue_aware,QCCS,fixed,3,0,3,64.0,192,67.98782940530994,0.6694281588996539,0.9644774467709941,0.005514138043051581,0.023672150646480074,0.005893568225188929,3.527996937330386,0.15696999801408565,4.642823916686437,0.3215995613429641,105839910.63754167,4709100.065295564,0.005208333333333333,0.009021097956087902,0.7618333399947738,0.011937640611909257,248.95833333333334,1.8042195912175805,30000009.423916664,36.19822499935643,0.9697139089280782,0.005587159310334129
load,2,0.75,1500000.0,1.5,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,maxweight_lyapunov,Lyapunov,fixed,3,0,3,64.0,192,60.728333082476944,1.3157715101809038,0.9451850115393365,0.00957167388272737,0.041822065296245305,0.008617902730476187,5.11998826884752,0.4789999148522651,6.761947277053175,0.9255457924466836,153599651.73595834,14369997.749530846,0.0,0.0,0.9831423621140422,0.000523983496911926,250.0,0.0,30000008.86445833,37.14511695176392,0.9482794691341457,0.0096775509676328
