sweep,point_index,multiplier,task_arrival_rate_bits_per_gu_slot,task_arrival_rate_mbit_per_gu_slot,b_acc_hz,b_acc_mhz,b_backhaul_per_sat_hz,b_backhaul_per_sat_mhz,sat_cpu_freq_hz,sat_cpu_freq_gbps_equiv,method_id,paper_label,method_family,training_seed,checkpoint_role,eval_seed_base,episodes,num_envs,label,config_path,checkpoint_path,baseline_policy,out_dir,reward_sum,processed_ratio_eval,drop_ratio_eval,pre_backlog_steps_eval,D_sys_report,queue_total_mean,collision_episode_fraction,sat_overlap_eval,episode_length,arrival_step_mean,outflow_arrival_ratio
load,1,0.50,1000000.0,1.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,relcritic,STARS,learned,45211,selected,980000,64,64,load_x0p50_relcritic_seed45211_selected_seedbase980000,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/formal_parameter_sweeps_20260714_full/configs/load/x0p50/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed45211_20260711_213639_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/formal_parameter_sweeps_20260714_full/results/load/x0p50/learned/relcritic/seed45211/selected/seedbase980000,206.39140529185534,0.9868821889427492,0.01005713758757338,1.4320364290924412,2.362199228234865,28640728.2655,0.0,0.5730989682516082,250.0,20000018.391374994,0.9868812057793025
load,1,0.50,1000000.0,1.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,relcritic,STARS,learned,45211,selected,981000,64,64,load_x0p50_relcritic_seed45211_selected_seedbase981000,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/formal_parameter_sweeps_20260714_full/configs/load/x0p50/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed45211_20260711_213639_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/formal_parameter_sweeps_20260714_full/results/load/x0p50/learned/relcritic/seed45211/selected/seedbase981000,210.0190229730215,0.9876357328713349,0.002208981568480114,0.7186679802266684,0.9058110154593689,14373359.436842201,0.03125,0.5792308382611351,244.40625,19999898.213507097,0.9876387702383328
load,1,0.50,1000000.0,1.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,relcritic,STARS,learned,45211,selected,982000,64,64,load_x0p50_relcritic_seed45211_selected_seedbase982000,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/formal_parameter_sweeps_20260714_full/configs/load/x0p50/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed45211_20260711_213639_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/formal_parameter_sweeps_20260714_full/results/load/x0p50/learned/relcritic/seed45211/selected/seedbase982000,220.42868784512393,0.996870593313593,0.002410510695714038,0.5272304739190011,0.6753549050850849,10544609.366312502,0.0,0.573567718002945,250.0,20000031.146500003,0.9968690585273468
load,1,0.50,1000000.0,1.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,relcritic,STARS,learned,73129,selected,980000,64,64,load_x0p50_relcritic_seed73129_selected_seedbase980000,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/formal_parameter_sweeps_20260714_full/configs/load/x0p50/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed73129_20260711_213639_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/formal_parameter_sweeps_20260714_full/results/load/x0p50/learned/relcritic/seed73129/selected/seedbase980000,211.38118908111937,0.9952859064247453,0.0037519691220441022,0.912854537115443,1.1617120239199916,18257090.541750003,0.0,0.5934166802456604,250.0,20000018.391374994,0.995284994004902
load,1,0.50,1000000.0,1.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,relcritic,STARS,learned,73129,selected,981000,64,64,load_x0p50_relcritic_seed73129_selected_seedbase981000,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/formal_parameter_sweeps_20260714_full/configs/load/x0p50/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed73129_20260711_213639_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/formal_parameter_sweeps_20260714_full/results/load/x0p50/learned/relcritic/seed73129/selected/seedbase981000,219.79683726350777,0.9995782589912413,0.00037366629121243024,0.4223124351563666,0.5056878221016482,8446248.6070625,0.0,0.5825312633346768,250.0,19999973.339750007,0.9995795666549803
load,1,0.50,1000000.0,1.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,relcritic,STARS,learned,73129,selected,982000,64,64,load_x0p50_relcritic_seed73129_selected_seedbase982000,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/formal_parameter_sweeps_20260714_full/configs/load/x0p50/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed73129_20260711_213639_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/formal_parameter_sweeps_20260714_full/results/load/x0p50/learned/relcritic/seed73129/selected/seedbase982000,222.46005466743372,0.9987706146577837,0.0010595272140872113,0.43671036357787535,0.5337572703696357,8734207.169687502,0.0,0.5914479294847699,250.0,20000031.146500003,0.9987690508142416
load,1,0.50,1000000.0,1.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,relcritic,STARS,learned,91457,selected,980000,64,64,load_x0p50_relcritic_seed91457_selected_seedbase980000,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/formal_parameter_sweeps_20260714_full/configs/load/x0p50/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed91457_20260712_124615_resume_u0400_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/formal_parameter_sweeps_20260714_full/results/load/x0p50/learned/relcritic/seed91457/selected/seedbase980000,209.2597899332177,0.9981607963010825,0.0005915061528656922,0.6529768283854166,0.8864025271154194,13059536.406807363,0.015625,0.65412565463664,248.375,20000024.602839034,0.9981695185616719
load,1,0.50,1000000.0,1.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,relcritic,STARS,learned,91457,selected,981000,64,64,load_x0p50_relcritic_seed91457_selected_seedbase981000,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/formal_parameter_sweeps_20260714_full/configs/load/x0p50/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed91457_20260712_124615_resume_u0400_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/formal_parameter_sweeps_20260714_full/results/load/x0p50/learned/relcritic/seed91457/selected/seedbase981000,204.2182857382577,0.9900738138975574,0.0006684593101672362,0.6362164415388296,0.827942316869512,12724328.6765625,0.015625,0.6422552198944615,246.109375,19999893.678250007,0.9901528551696023
load,1,0.50,1000000.0,1.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,relcritic,STARS,learned,91457,selected,982000,64,64,load_x0p50_relcritic_seed91457_selected_seedbase982000,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/formal_parameter_sweeps_20260714_full/configs/load/x0p50/structured_joint_mcgae_3uav20gu_t250_relational_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/relational_critic/seed91457_20260712_124615_resume_u0400_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/formal_parameter_sweeps_20260714_full/results/load/x0p50/learned/relcritic/seed91457/selected/seedbase982000,210.2337662000209,0.9980116900913417,0.0015047524772453468,0.6963037807169759,0.9206463763546907,13926075.429625003,0.0,0.6374531382927671,250.0,20000031.146500003,0.9980622738671139
load,1,0.50,1000000.0,1.0,2000000.0,2.0,10000000.0,10.0,50000000000.0,50.0,globalcritic,STARS-GC,learned,45211,selected,980000,64,64,load_x0p50_globalcritic_seed45211_selected_seedbase980000,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/formal_parameter_sweeps_20260714_full/configs/load/x0p50/structured_joint_mcgae_3uav20gu_t250_global_only_critic.yaml,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/global_only_critic/seed45211_20260712_124615_bootstrapgae_nocompile/best_checkpoint.pt,,/home/sgy/workspace/sagin_marl_phase4_learning_ablation/runs/phase4_learning_ablation/3uav20gu_t250/formal_parameter_sweeps_20260714_full/results/load/x0p50/learned/globalcritic/seed45211/selected/seedbase980000,208.94873168389313,0.9948497057195799,0.0018788972351642607,0.9406425009329729,1.2100464298259876,18812849.78728365,0.015625,0.7671986001449136,249.140625,20000020.41752243,0.9948487438547036
