method_family,method_id,paper_label,training_seed,checkpoint,eval_seed_base,label,episodes,num_envs,summary_json,reward_sum,processed_ratio_eval,drop_ratio_eval,pre_backlog_steps_eval,D_sys_report,gu_queue_mean,uav_queue_mean,sat_queue_mean,queue_total_mean,arrival_sum,outflow_sum,backhaul_sum,sat_processed_sum,outflow_arrival_ratio,sat_incoming_arrival_ratio,sat_processed_arrival_ratio,sat_processed_incoming_ratio,drop_ratio,active_drop_ratio,gu_drop_ratio,uav_drop_ratio,sat_drop_ratio,collision_episode_fraction,episode_length,terminated_early,gu_queue_layer_mbit,uav_queue_layer_mbit,sat_queue_layer_mbit,queue_total_mbit
learned,relcritic,STARS,45211,selected,980000,load_x1p00_relcritic_seed45211_selected_seedbase980000,64,64,docs/paper/evidence_tables/phase4_nominal_selected_rich_summaries_20260715/nominal_load_x1p00/learned/relcritic/seed45211/selected/seedbase980000/load_x1p00_relcritic_seed45211_selected_seedbase980000_summary.json,71.7413937561214,0.890926685503684,0.09096779251312362,5.030751426917256,7.850932372880423,9615744.739490626,2971720.0319999997,0.0,201230054.86862502,10000006459.6875,8911896567.90625,8909266748.552734,8909266748.552734,0.8911892473479024,0.8909262636295124,0.8909262636295124,1.0,0.09096759348790018,0.09096759348790018,0.09096759348790018,0.0,0.0,0.0,250.0,0.0,192.31489478981254,8.915160096,0.0,201.23005486862502
learned,relcritic,STARS,45211,selected,981000,load_x1p00_relcritic_seed45211_selected_seedbase981000,64,64,docs/paper/evidence_tables/phase4_nominal_selected_rich_summaries_20260715/nominal_load_x1p00/learned/relcritic/seed45211/selected/seedbase981000/load_x1p00_relcritic_seed45211_selected_seedbase981000_summary.json,69.07539979345165,0.8905958078755066,0.08564177147609073,4.343861234948797,6.186801386916758,8308583.870690625,2527589.959999999,0.0,173754447.30750003,9844366096.6875,8850957551.328125,8847906761.292969,8847906761.292969,0.8909026948515315,0.8905976134858248,0.8905976134858248,1.0,0.08564190257873132,0.08564190257873132,0.08564190257873132,0.0,0.0,0.015625,246.109375,0.015625,166.17167741381252,7.582769879999997,0.0,173.75444730750004
learned,relcritic,STARS,45211,selected,982000,load_x1p00_relcritic_seed45211_selected_seedbase982000,64,64,docs/paper/evidence_tables/phase4_nominal_selected_rich_summaries_20260715/nominal_load_x1p00/learned/relcritic/seed45211/selected/seedbase982000/load_x1p00_relcritic_seed45211_selected_seedbase982000_summary.json,71.35305156966206,0.9134782839301041,0.07347801261965056,4.360967079691122,5.986975415981654,8328368.227371876,2623772.178666667,0.0,174438681.08449998,10000010975.1875,9138973727.703125,9134782729.597656,9134782729.597656,0.9138963602844118,0.9134772625247631,0.9134772625247631,1.0,0.07347792852520682,0.07347792852520682,0.07347792852520682,0.0,0.0,0.0,250.0,0.0,166.5673645474375,7.871316536000001,0.0,174.4386810845
learned,relcritic,STARS,73129,selected,980000,load_x1p00_relcritic_seed73129_selected_seedbase980000,64,64,docs/paper/evidence_tables/phase4_nominal_selected_rich_summaries_20260715/nominal_load_x1p00/learned/relcritic/seed73129/selected/seedbase980000/load_x1p00_relcritic_seed73129_selected_seedbase980000_summary.json,72.28236316482071,0.8991655993508174,0.08501501513163566,4.334398979987161,6.707349702919413,8335129.812021873,2224453.618666666,0.0,173375957.09781247,10000006459.6875,8997030143.6875,8991655887.203125,8991655887.203125,0.8997024385501025,0.8991650119236578,0.8991650119236578,1.0,0.08501495503835929,0.08501495503835929,0.08501495503835929,0.0,0.0,0.0,250.0,0.0,166.70259624043746,6.673360855999999,0.0,173.37595709781246
learned,relcritic,STARS,73129,selected,981000,load_x1p00_relcritic_seed73129_selected_seedbase981000,64,64,docs/paper/evidence_tables/phase4_nominal_selected_rich_summaries_20260715/nominal_load_x1p00/learned/relcritic/seed73129/selected/seedbase981000/load_x1p00_relcritic_seed73129_selected_seedbase981000_summary.json,70.94004005333409,0.9133702861655535,0.07394776342094755,3.824421734904545,5.270402233325826,7347573.413479244,2008466.4469047617,0.0,152976867.6087544,9913741462.375,9076721530.640625,9072750751.21875,9072750751.21875,0.9137681205702144,0.913371043118595,0.913371043118595,1.0,0.07394790016929634,0.07394790016929634,0.07394790016929634,0.0,0.0,0.015625,247.84375,0.015625,146.9514682695849,6.025399340714285,0.0,152.9768676087544
learned,relcritic,STARS,73129,selected,982000,load_x1p00_relcritic_seed73129_selected_seedbase982000,64,64,docs/paper/evidence_tables/phase4_nominal_selected_rich_summaries_20260715/nominal_load_x1p00/learned/relcritic/seed73129/selected/seedbase982000/load_x1p00_relcritic_seed73129_selected_seedbase982000_summary.json,72.68177074962296,0.9219409422865138,0.06708731343967335,3.759273418974308,5.0853423527139245,7195920.011031252,2150844.901333333,0.0,150370934.90993753,10000010975.1875,9224830220.3125,9219409314.484375,9219409314.484375,0.9224820039722481,0.9219399135130173,0.9219399135130173,1.0,0.0670872300722946,0.0670872300722946,0.0670872300722946,0.0,0.0,0.0,250.0,0.0,143.91840022062505,6.452534703999999,0.0,150.37093490993752
learned,relcritic,STARS,91457,selected,980000,load_x1p00_relcritic_seed91457_selected_seedbase980000,64,64,docs/paper/evidence_tables/phase4_nominal_selected_rich_summaries_20260715/nominal_load_x1p00/learned/relcritic/seed91457/selected/seedbase980000/load_x1p00_relcritic_seed91457_selected_seedbase980000_summary.json,72.54270573495887,0.9276128056379969,0.05487347648600872,4.881850812520075,6.52115938046319,8833300.144178124,6202675.786666667,0.0,195274030.21187496,10000006459.6875,9282954215.0,9276127948.210938,9276127948.210938,0.9282949507813305,0.9276123218570419,0.9276123218570419,1.0,0.05487334674802486,0.05487334674802486,0.05487334674802486,0.0,0.0,0.0,250.0,0.0,176.66600288356247,18.608027359999998,0.0,195.27403021187496
learned,relcritic,STARS,91457,selected,981000,load_x1p00_relcritic_seed91457_selected_seedbase981000,64,64,docs/paper/evidence_tables/phase4_nominal_selected_rich_summaries_20260715/nominal_load_x1p00/learned/relcritic/seed91457/selected/seedbase981000/load_x1p00_relcritic_seed91457_selected_seedbase981000_summary.json,70.51017265045084,0.9142113595767879,0.06229103473931991,4.658481089817819,6.328439699086915,8536000.764540624,5206408.656,0.0,186339241.24856257,9844366096.6875,9092909470.109375,9083763104.773438,9083763104.773438,0.9151279302842509,0.914213289828504,0.914213289828504,1.0,0.06229105887299373,0.06229105887299373,0.06229105887299373,0.0,0.0,0.015625,246.109375,0.015625,170.72001529081248,15.619225968000002,0.0,186.3392412485626
learned,relcritic,STARS,91457,selected,982000,load_x1p00_relcritic_seed91457_selected_seedbase982000,64,64,docs/paper/evidence_tables/phase4_nominal_selected_rich_summaries_20260715/nominal_load_x1p00/learned/relcritic/seed91457/selected/seedbase982000/load_x1p00_relcritic_seed91457_selected_seedbase982000_summary.json,68.23014946980402,0.9244559441003946,0.061628644810227805,4.970764952007326,6.645277130367133,9082507.047253123,5726818.1839999985,0.0,198830595.50381246,10000010975.1875,9249220956.46875,9244559332.546875,9244559332.546875,0.9249210674680315,0.9244549056404572,0.9244549056404572,1.0,0.061628568454180105,0.061628568454180105,0.061628568454180105,0.0,0.0,0.0,250.0,0.0,181.65014094506245,17.180454551999993,0.0,198.83059550381248
learned,globalcritic,STARS-GC,45211,selected,980000,load_x1p00_globalcritic_seed45211_selected_seedbase980000,64,64,docs/paper/evidence_tables/phase4_nominal_selected_rich_summaries_20260715/nominal_load_x1p00/learned/globalcritic/seed45211/selected/seedbase980000/load_x1p00_globalcritic_seed45211_selected_seedbase980000_summary.json,74.19367743632756,0.9062006586161443,0.07182089907252567,4.432626599194008,5.994404292599192,8594143.790971354,1807395.346666667,0.0,177305061.8703021,9851256589.0625,8974294514.0625,8971983923.304688,8971983923.304688,0.9064311215033708,0.9062000631502749,0.9062000631502749,1.0,0.07182080033191901,0.07182080033191901,0.07182080033191901,0.0,0.0,0.015625,246.28125,0.015625,171.88287581942708,5.422186040000001,0.0,177.3050618703021
learned,globalcritic,STARS-GC,45211,selected,981000,load_x1p00_globalcritic_seed45211_selected_seedbase981000,64,64,docs/paper/evidence_tables/phase4_nominal_selected_rich_summaries_20260715/nominal_load_x1p00/learned/globalcritic/seed45211/selected/seedbase981000/load_x1p00_globalcritic_seed45211_selected_seedbase981000_summary.json,73.62975736288354,0.9023311417102813,0.08294768301522051,4.305140280746358,6.093919620226639,8388746.417496877,1476893.6266666667,0.0,172205609.22418764,9999990528.1875,9025660269.03125,9023311312.296875,9023311312.296875,0.9025670017867059,0.9023321058731222,0.9023321058731222,1.0,0.08294765397042701,0.08294765397042701,0.08294765397042701,0.0,0.0,0.0,250.0,0.0,167.77492834993754,4.43068088,0.0,172.20560922418764
learned,globalcritic,STARS-GC,45211,selected,982000,load_x1p00_globalcritic_seed45211_selected_seedbase982000,64,64,docs/paper/evidence_tables/phase4_nominal_selected_rich_summaries_20260715/nominal_load_x1p00/learned/globalcritic/seed45211/selected/seedbase982000/load_x1p00_globalcritic_seed45211_selected_seedbase982000_summary.json,72.72605526284315,0.908294182194397,0.07722930763696602,4.62573325168645,6.200345491784774,8862145.785131253,2595470.7706666663,0.0,185029327.98774996,10000010975.1875,9089885236.03125,9082941712.625,9082941712.625,0.9089875533724053,0.90829319684757,0.90829319684757,1.0,0.07722918230174725,0.07722918230174725,0.07722918230174725,0.0,0.0,0.0,250.0,0.0,177.24291570262506,7.786412311999999,0.0,185.02932798774995
learned,globalcritic,STARS-GC,73129,selected,980000,load_x1p00_globalcritic_seed73129_selected_seedbase980000,64,64,docs/paper/evidence_tables/phase4_nominal_selected_rich_summaries_20260715/nominal_load_x1p00/learned/globalcritic/seed73129/selected/seedbase980000/load_x1p00_globalcritic_seed73129_selected_seedbase980000_summary.json,34.837350518326275,0.6321185594484171,0.327699105919564,9.465378514636928,23.676969891399146,18798796.865483332,879732.9626666664,0.0,378615136.1954166,9890632222.4375,6289248584.453125,6283146395.011719,6283146395.011719,0.6327282942046584,0.6321180723937966,0.6321180723937966,1.0,0.32769883480983586,0.32769883480983586,0.32769883480983586,0.0,0.0,0.015625,247.265625,0.015625,375.9759373096666,2.6391988879999992,0.0,378.61513619541665
learned,globalcritic,STARS-GC,73129,selected,981000,load_x1p00_globalcritic_seed73129_selected_seedbase981000,64,64,docs/paper/evidence_tables/phase4_nominal_selected_rich_summaries_20260715/nominal_load_x1p00/learned/globalcritic/seed73129/selected/seedbase981000/load_x1p00_globalcritic_seed73129_selected_seedbase981000_summary.json,35.57749520195648,0.6552260630160676,0.30375313752231037,8.35290874389215,19.33823212646404,16595854.019334212,733088.4959999999,0.0,334116345.8741843,9805616973.5625,6486645220.046875,6482599498.0625,6482599498.0625,0.6556312391424451,0.6552266673401664,0.6552266673401664,1.0,0.30375330853576954,0.30375330853576954,0.30375330853576954,0.0,0.0,0.03125,245.140625,0.03125,331.91708038668423,2.199265488,0.0,334.11634587418433
learned,globalcritic,STARS-GC,73129,selected,982000,load_x1p00_globalcritic_seed73129_selected_seedbase982000,64,64,docs/paper/evidence_tables/phase4_nominal_selected_rich_summaries_20260715/nominal_load_x1p00/learned/globalcritic/seed73129/selected/seedbase982000/load_x1p00_globalcritic_seed73129_selected_seedbase982000_summary.json,35.493358097504824,0.6680665349860084,0.2857691469522049,8.508804846812042,18.933330612734842,16882581.025258582,900189.7270303031,0.0,340352189.6785126,9740006467.9375,6576752874.703125,6573713370.941895,6573713370.941895,0.6683699268379306,0.6680659772293063,0.6680659772293063,1.0,0.2857689807685908,0.2857689807685908,0.2857689807685908,0.0,0.0,0.046875,243.5,0.046875,337.65162050517165,2.700569181090909,0.0,340.35218967851256
learned,globalcritic,STARS-GC,91457,selected,980000,load_x1p00_globalcritic_seed91457_selected_seedbase980000,64,64,docs/paper/evidence_tables/phase4_nominal_selected_rich_summaries_20260715/nominal_load_x1p00/learned/globalcritic/seed91457/selected/seedbase980000/load_x1p00_globalcritic_seed91457_selected_seedbase980000_summary.json,33.72339977690717,0.6268372113167425,0.32693636486508865,9.299171240284508,21.166245877920318,18444250.98494927,1027275.13000344,0.0,371966845.107808,9689381443.375,6132973789.09375,6126501644.688477,6126501644.688477,0.6274839840084482,0.6268367671664291,0.6268367671664291,1.0,0.3269359542934358,0.3269359542934358,0.3269359542934358,0.0,0.0,0.046875,242.234375,0.046875,368.88501969898533,3.08182539001032,0.0,371.966845107808
learned,globalcritic,STARS-GC,91457,selected,981000,load_x1p00_globalcritic_seed91457_selected_seedbase981000,64,64,docs/paper/evidence_tables/phase4_nominal_selected_rich_summaries_20260715/nominal_load_x1p00/learned/globalcritic/seed91457/selected/seedbase981000/load_x1p00_globalcritic_seed91457_selected_seedbase981000_summary.json,32.04660660016816,0.5967374669794484,0.3398692124585513,9.364101473789146,22.470411522644266,18580083.240294218,987463.2578509684,0.0,374564054.5830403,9433744859.875,5740984350.234375,5736176950.511719,5736176950.511719,0.5972536503840244,0.5967388338210959,0.5967388338210959,1.0,0.33986937954447244,0.33986937954447244,0.33986937954447244,0.0,0.0,0.109375,235.84375,0.109375,371.60166480588435,2.9623897735529052,0.0,374.5640545830403
learned,globalcritic,STARS-GC,91457,selected,982000,load_x1p00_globalcritic_seed91457_selected_seedbase982000,64,64,docs/paper/evidence_tables/phase4_nominal_selected_rich_summaries_20260715/nominal_load_x1p00/learned/globalcritic/seed91457/selected/seedbase982000/load_x1p00_globalcritic_seed91457_selected_seedbase982000_summary.json,34.11904827383114,0.6320055865912806,0.3220073931865031,9.48662184812879,21.76950313242722,18813946.654241707,1061978.7781329115,0.0,379464869.4011078,9776886653.1875,6218811550.09375,6212539922.1015625,6212539922.1015625,0.6326317622367567,0.6320046018720898,0.6320046018720898,1.0,0.3220074637599931,0.3220074637599931,0.3220074637599931,0.0,0.0,0.03125,244.421875,0.03125,376.27893308483414,3.1859363343987344,0.0,379.46486940110776
