episode,reward_sum,bw_weighted_workload_delta_sum,bw_weighted_workload_level_sum,processed_ratio_eval,drop_ratio_eval,pre_backlog_steps_eval,D_sys_report,x_acc_mean,x_rel_mean,g_pre_mean,d_pre_mean,sat_overlap_eval,collision_episode_fraction,terminated_early,episode_length,gu_queue_mean,uav_queue_mean,sat_queue_mean,queue_total_mean,arrival_sum,outflow_sum,backhaul_sum,sat_processed_sum,drop_sum,outflow_arrival_ratio,sat_incoming_arrival_ratio,sat_processed_arrival_ratio,sat_processed_incoming_ratio,drop_ratio,step_count,processed_ratio_total,drop_ratio_total,pre_backlog_total,D_sys_total,x_acc_total,x_rel_total,g_pre_total,d_pre_total,sat_overlap_total,arrival_step_mean,outflow_step_mean,backhaul_step_mean,sat_processed_step_mean,drop_sum_active,gu_drop_sum,uav_drop_sum,sat_drop_sum,active_drop_ratio,gu_drop_ratio,uav_drop_ratio,sat_drop_ratio
0.0,35.11077977716923,4527.6944217681885,-148681.29534626007,0.5821594760417939,0.34484403401613234,16.55959709250927,29.16773036599159,0.5929012769460678,0.5821594760417939,0.07299562310427428,0.34484403401613234,1.0,0.0,0.0,250.0,26163010.652000003,46374554.965333335,0.0,662383877.76,9999990968.0,5929012705.0,5821594715.0,5821594715.0,3448440292.0,0.5929018060089112,0.5821599973069096,0.5821599973069096,1.0,0.34484434066340847,250.0,145.53986901044846,86.21100850403309,4139.899273127317,7291.932591497898,148.22531923651695,145.53986901044846,18.24890577606857,86.21100850403309,250.0,39999963.872,23716050.82,23286378.86,23286378.86,3448440292.0,3448440292.0,0.0,0.0,0.34484434066340847,0.34484434066340847,0.0,0.0
1.0,35.13866589963436,4665.411523342133,-130158.81652355194,0.43571793526411057,0.4336486700475216,22.859178513407706,51.99177997398377,0.53150505143404,0.43571793526411057,0.1306229906231165,0.4336486700475216,1.0,0.0,0.0,250.0,23196027.0782,150148863.65866667,0.0,914367132.096,9999896016.0,5315050448.0,4357179308.0,4357179308.0,4336486652.0,0.5315105716595283,0.43572246161644484,0.43572246161644484,1.0,0.43365317449916974,250.0,108.92948381602764,108.4121675118804,5714.794628351927,12997.944993495941,132.87626285851002,108.92948381602764,32.65574765577912,108.4121675118804,250.0,39999584.064,21260201.792,17428717.232,17428717.232,4336486652.0,4178615676.0,157870976.0,0.0,0.43365317449916974,0.417865912736907,0.015787261762262708,0.0
2.0,33.742337472736835,5152.231188774109,-190943.46477794647,0.6485261883735657,0.18113700342876837,26.16327209639549,41.05428387475014,0.8046758054494858,0.6485261883735657,0.17034697120264172,0.18113700342876837,1.0,0.0,0.0,250.0,28978196.988599997,155655643.81866667,0.0,1046530871.868,10000101612.0,8046757982.0,6485261823.0,6485261823.0,1811370012.0,0.8046676218113612,0.6485195925627161,0.6485195925627161,1.0,0.1811351606494056,250.0,162.13154709339142,45.28425085719209,6540.818024098873,10263.570968687534,201.16895136237144,162.13154709339142,42.58674280066043,45.28425085719209,250.0,40000406.448,32187031.928,25941047.292,25941047.292,1811370012.0,1309733660.0,501636352.0,0.0,0.1811351606494056,0.13097203516695627,0.05016312548244935,0.0
3.0,33.981416180729866,4943.919280052185,-169292.68544101715,0.344145699262619,0.5122738247290254,24.85695572400093,75.22658877372741,0.49110333967208863,0.344145699262619,0.14359024866111578,0.5122738247290254,1.0,0.0,0.0,250.0,27707549.304,146709076.992,0.0,994278218.32,10000098248.0,4911033344.0,3441456957.0,3441456957.0,5122738184.0,0.4910985094553643,0.3441423145705878,0.3441423145705878,1.0,0.5122687854616366,250.0,86.03642481565475,128.06845618225634,6214.238931000233,18806.647193431854,122.77583491802216,86.03642481565475,35.89756216527894,128.06845618225634,250.0,40000392.992,19644133.376,13765827.828,13765827.828,5122738184.0,4453162504.0,669575680.0,0.0,0.5122687854616366,0.4453118752998875,0.06695691016174904,0.0
4.0,33.79838103055954,5126.191198348999,-180166.7453289032,0.5237310575246811,0.37757062121480706,14.749307619690896,28.57829629278183,0.5516195380687714,0.5237310575246811,0.09870638184132986,0.37757062121480706,1.0,0.0,0.0,250.0,25591422.8618,26047946.92266667,0.0,589972298.004,10000080900.0,5516195316.0,5237310523.0,5237310523.0,3775706160.0,0.5516150690340915,0.5237268153500638,0.5237268153500638,1.0,0.3775675614784276,250.0,130.93276438117027,94.39265530370176,3687.3269049227238,7144.5740731954575,137.90488451719284,130.93276438117027,24.676595460332464,94.39265530370176,250.0,40000323.6,22064781.264,20949242.092,20949242.092,3775706160.0,3775706160.0,0.0,0.0,0.3775675614784276,0.3775675614784276,0.0,0.0
5.0,33.58591593801975,4497.675399780273,-211194.0285987854,0.4284033530950546,0.5153618098231963,13.216493316292762,33.29713756990433,0.42840335446596145,0.4284033530950546,0.056236921433359385,0.5153618098231963,1.0,0.0,0.0,250.0,26432986.3592,0.0,0.0,528659727.184,10000020684.0,4284033494.0,4284033483.5,4284033483.5,5153618032.0,0.42840246329234494,0.42840246224234707,0.42840246224234707,1.0,0.5153607372278511,250.0,107.10083827376366,128.8404524557991,3304.1233290731907,8324.284392476082,107.10083861649036,107.10083827376366,14.059230358339846,128.8404524557991,250.0,40000082.736,17136133.976,17136133.934,17136133.934,5153618032.0,5153618032.0,0.0,0.0,0.5153607372278511,0.5153607372278511,0.0,0.0
6.0,28.564233779907227,4171.836597442627,-1185743.4870700836,0.5117032886743546,0.3678452234044671,17.193672701716423,34.33069207763672,0.579712791621685,0.5117032886743546,0.12045103528350591,0.3678452234044671,1.0,0.0,0.0,250.0,21376417.86,86739514.19733334,0.0,687746899.664,9999995620.0,5797127858.0,5117032821.0,5117032821.0,3678452188.0,0.5797130397143114,0.5117035062261357,0.5117035062261357,1.0,0.3678453799162764,250.0,127.92582216858864,91.96130585111678,4298.418175429106,8582.67301940918,144.92819790542126,127.92582216858864,30.11275882087648,91.96130585111678,250.0,39999982.48,23188511.432,20468131.284,20468131.284,3678452188.0,3678452188.0,0.0,0.0,0.3678453799162764,0.3678453799162764,0.0,0.0
7.0,35.33551402390003,4427.131840229034,-141163.66983509064,0.542788657784462,0.37212321686698124,15.043407702684403,26.51010951256752,0.5694985069036483,0.542788657784462,0.08508921766513959,0.37212321686698124,1.0,0.0,0.0,250.0,24126015.522,39738663.25333334,0.0,601736300.712,10000010736.0,5694985016.0,5427886514.0,5427886514.0,3721232104.0,0.5694978901870651,0.5427880686627294,0.5427880686627294,1.0,0.3721228108889502,250.0,135.6971644461155,93.03080421674531,3760.8519256711006,6627.52737814188,142.3746267259121,135.6971644461155,21.272304416284896,93.03080421674531,250.0,40000042.944,22779940.064,21711546.056,21711546.056,3721232104.0,3721232104.0,0.0,0.0,0.3721228108889502,0.3721228108889502,0.0,0.0
8.0,34.11833533644676,5038.697604179382,-167116.1926908493,0.5617045118808747,0.3565151298940182,14.718104018688202,26.412900284051894,0.5733391864299774,0.5617045118808747,0.08179337034840137,0.3565151298940182,1.0,0.0,0.0,250.0,26090080.9958,22307511.125333335,0.0,588724153.548,10000129784.0,5733391786.0,5617045047.0,5617045047.0,3565151260.0,0.5733317376713758,0.5616972147688678,0.5616972147688678,1.0,0.35651049906413895,250.0,140.42612797021866,89.12878247350454,3679.5260046720505,6603.225071012974,143.33479660749435,140.42612797021866,20.448342587100342,89.12878247350454,250.0,40000519.136,22933567.144,22468180.188,22468180.188,3565151260.0,3565151260.0,0.0,0.0,0.35651049906413895,0.35651049906413895,0.0,0.0
9.0,32.54167440533638,4680.788016319275,-232100.50240802765,0.4406161422729492,0.49922440518811345,15.032780382156371,34.675881021499634,0.44061615151166916,0.4406161422729492,0.06014855758240446,0.49922440518811345,1.0,0.0,0.0,250.0,29940549.6472,833405.6106666666,0.0,601311209.904,9999891132.0,4406161473.0,4406161388.0,4406161388.0,4992243992.0,0.44062094425209586,0.44062093575200334,0.44062093575200334,1.0,0.49922983421535916,250.0,110.1540355682373,124.80610129702836,3758.195095539093,8668.970255374908,110.15403787791729,110.1540355682373,15.037139395601116,124.80610129702836,250.0,39999564.528,17624645.892,17624645.552,17624645.552,4992243992.0,4992243992.0,0.0,0.0,0.49922983421535916,0.49922983421535916,0.0,0.0
10.0,35.48180841654539,5115.399485588074,-133085.28017807007,0.5577950439453125,0.31669628181308507,24.00305206012726,44.47732159495354,0.6770395972728729,0.5577950439453125,0.12550547317415475,0.31669628181308507,1.0,0.0,0.0,250.0,23357507.368,164323973.97333333,0.0,960122070.944,9999968764.0,6770395892.0,5577950376.0,5577950376.0,3166962784.0,0.6770417040074667,0.5577967799340218,0.5577967799340218,1.0,0.3166972676355852,250.0,139.44876098632812,79.17407045327127,6000.763015031815,11119.330398738384,169.25989931821823,139.44876098632812,31.37636829353869,79.17407045327127,250.0,39999875.056,27081583.568,22311801.504,22311801.504,3166962784.0,2774518176.0,392444608.0,0.0,0.3166972676355852,0.2774526842512045,0.03924458338438066,0.0
11.0,29.238517493009567,4251.87008190155,-668209.499797821,0.24929583692550658,0.6710598099529743,16.40993010354042,71.93704331970216,0.24929583847522735,0.24929583692550658,0.07966661824053153,0.6710598099529743,1.0,0.0,0.0,250.0,32819859.800800003,0.0,0.0,656397196.016,10000222560.0,2492958352.0,2492958340.5,2492958340.5,6710598032.0,0.24929028699537262,0.24929028584539822,0.24929028584539822,1.0,0.6710448684254083,250.0,62.32395923137665,167.76495248824358,4102.482525885105,17984.260829925537,62.32395961880684,62.32395923137665,19.916654560132883,167.76495248824358,250.0,40000890.24,9971833.408,9971833.362,9971833.362,6710598032.0,6710598032.0,0.0,0.0,0.6710448684254083,0.6710448684254083,0.0,0.0
12.0,34.51419426500797,4666.985198020935,-145787.0910577774,0.644341526567936,0.3045177622111514,13.795483276128769,22.065804954767227,0.6559489541649819,0.644341526567936,0.05113876864500344,0.3045177622111514,1.0,0.0,0.0,250.0,23499433.7666,27276883.456,0.0,551819324.804,9999980912.0,6559489458.0,6443415198.0,6443415198.0,3045177584.0,0.6559501978777377,0.6443427497214407,0.6443427497214407,1.0,0.30451833966460673,250.0,161.085381641984,76.12944055278786,3448.8708190321922,5516.451238691807,163.98723854124546,161.085381641984,12.78469216125086,76.12944055278786,250.0,39999923.648,26237957.832,25773660.792,25773660.792,3045177584.0,3045177584.0,0.0,0.0,0.30451833966460673,0.30451833966460673,0.0,0.0
13.0,33.639282032847404,4295.310947418213,-182079.82637357712,0.503766717672348,0.350560631070286,22.38625181758404,47.98646480834484,0.6100546547174454,0.503766717672348,0.14567613611137495,0.350560631070286,1.0,0.0,0.0,250.0,26396097.6812,122509371.05066667,0.0,895450065.752,10000034480.0,6100546478.0,5037667112.0,5037667112.0,3505606276.0,0.6100525443388272,0.5037649742183689,0.5037649742183689,1.0,0.35055941887112374,250.0,125.941679418087,87.64015776757151,5596.562954396009,11996.61620208621,152.51366367936134,125.941679418087,36.419034027843736,87.64015776757151,250.0,40000137.92,24402185.912,20150668.448,20150668.448,3505606276.0,3316738948.0,188867328.0,0.0,0.35055941887112374,0.3316727511923539,0.018886667678769845,0.0
