table_family,row_id,row_scope,scenario,kind,method,method_role,training_seed,return_target,checkpoint_update,config,checkpoint,remote_run_dir,remote_out_dir,local_metrics_file,remote_metrics_file,metrics_row_selector,eval_seed_base,eval_seed_bases,episodes_per_seed,total_episodes,num_envs,git_branch,git_commit,status,reward_sum,reward_mean,reward_std,processed_ratio_eval,processed_mean,drop_ratio_eval,drop_mean,gu_drop_ratio,uav_drop_ratio,sat_drop_ratio,pre_backlog_steps_eval,D_sys_report,queue_total_mean,sat_overlap_eval,sat_overlap_mean,collision_episode_fraction,collision_mean,terminated_early,episode_length,outflow_arrival_ratio,best_learned,best_learned_checkpoint,best_learned_reward_mean,best_baseline,best_baseline_reward_mean,delta_mean,delta_min_across_seeds,rank_mean,rank_min,rank_max,best_update_validation,best_reward_validation,final_update_validation,final_reward_validation,heldout_best_reward,heldout_final_reward,stop_reason,source_row_count,notes
phase3_6uav_gu_load_sweep,aggregate__6uav40gu__baseline__cluster_center_queue_aware,method aggregate over 3 eval seed bases,6uav40gu,baseline,cluster_center_queue_aware,non_learning_baseline,,,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/configs/main_6uav40gu_t250_auto_queue_ref.yaml,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829,,.local_guidance/phase3/data/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_by_method.csv,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_by_method.csv; /home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,scenario=6uav40gu;kind=baseline;method=cluster_center_queue_aware,,980000;981000;982000,64,192,64,,,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Aggregate diagnostic row; not a primary paper result unless promoted after discussion.
phase3_6uav_gu_load_sweep,aggregate__6uav40gu__baseline__maxweight_lyapunov,method aggregate over 3 eval seed bases,6uav40gu,baseline,maxweight_lyapunov,non_learning_baseline,,,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/configs/main_6uav40gu_t250_auto_queue_ref.yaml,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829,,.local_guidance/phase3/data/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_by_method.csv,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_by_method.csv; /home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,scenario=6uav40gu;kind=baseline;method=maxweight_lyapunov,,980000;981000;982000,64,192,64,,,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Aggregate diagnostic row; not a primary paper result unless promoted after discussion.
phase3_6uav_gu_load_sweep,aggregate__6uav40gu__baseline__static_uniform,method aggregate over 3 eval seed bases,6uav40gu,baseline,static_uniform,non_learning_baseline,,,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/configs/main_6uav40gu_t250_auto_queue_ref.yaml,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829,,.local_guidance/phase3/data/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_by_method.csv,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_by_method.csv; /home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,scenario=6uav40gu;kind=baseline;method=static_uniform,,980000;981000;982000,64,192,64,,,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Aggregate diagnostic row; not a primary paper result unless promoted after discussion.
phase3_6uav_gu_load_sweep,aggregate__6uav40gu__learned__bootstrap_gae_u0400,method aggregate over 3 eval seed bases,6uav40gu,learned,bootstrap_gae_u0400,learned_policy,,bootstrap_gae,400,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/configs/main_6uav40gu_t250_auto_queue_ref.yaml,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829,,.local_guidance/phase3/data/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_by_method.csv,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_by_method.csv; /home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,scenario=6uav40gu;kind=learned;method=bootstrap_gae_u0400;update=400,,980000;981000;982000,64,192,64,,,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Aggregate diagnostic row; not a primary paper result unless promoted after discussion.
phase3_6uav_gu_load_sweep,aggregate__6uav40gu__learned__bootstrap_gae_u0450,method aggregate over 3 eval seed bases,6uav40gu,learned,bootstrap_gae_u0450,learned_policy,,bootstrap_gae,450,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/configs/main_6uav40gu_t250_auto_queue_ref.yaml,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829,,.local_guidance/phase3/data/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_by_method.csv,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_by_method.csv; /home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,scenario=6uav40gu;kind=learned;method=bootstrap_gae_u0450;update=450,,980000;981000;982000,64,192,64,,,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Aggregate diagnostic row; not a primary paper result unless promoted after discussion.
phase3_6uav_gu_load_sweep,aggregate__6uav60gu__baseline__cluster_center_queue_aware,method aggregate over 3 eval seed bases,6uav60gu,baseline,cluster_center_queue_aware,non_learning_baseline,,,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/configs/main_6uav60gu_t250_auto_queue_ref.yaml,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829,,.local_guidance/phase3/data/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_by_method.csv,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_by_method.csv; /home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,scenario=6uav60gu;kind=baseline;method=cluster_center_queue_aware,,980000;981000;982000,64,192,64,,,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Aggregate diagnostic row; not a primary paper result unless promoted after discussion.
phase3_6uav_gu_load_sweep,aggregate__6uav60gu__baseline__maxweight_lyapunov,method aggregate over 3 eval seed bases,6uav60gu,baseline,maxweight_lyapunov,non_learning_baseline,,,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/configs/main_6uav60gu_t250_auto_queue_ref.yaml,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829,,.local_guidance/phase3/data/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_by_method.csv,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_by_method.csv; /home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,scenario=6uav60gu;kind=baseline;method=maxweight_lyapunov,,980000;981000;982000,64,192,64,,,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Aggregate diagnostic row; not a primary paper result unless promoted after discussion.
phase3_6uav_gu_load_sweep,aggregate__6uav60gu__baseline__static_uniform,method aggregate over 3 eval seed bases,6uav60gu,baseline,static_uniform,non_learning_baseline,,,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/configs/main_6uav60gu_t250_auto_queue_ref.yaml,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829,,.local_guidance/phase3/data/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_by_method.csv,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_by_method.csv; /home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,scenario=6uav60gu;kind=baseline;method=static_uniform,,980000;981000;982000,64,192,64,,,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Aggregate diagnostic row; not a primary paper result unless promoted after discussion.
phase3_6uav_gu_load_sweep,aggregate__6uav60gu__learned__bootstrap_gae_u0400,method aggregate over 3 eval seed bases,6uav60gu,learned,bootstrap_gae_u0400,learned_policy,,bootstrap_gae,400,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/configs/main_6uav60gu_t250_auto_queue_ref.yaml,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829,,.local_guidance/phase3/data/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_by_method.csv,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_by_method.csv; /home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,scenario=6uav60gu;kind=learned;method=bootstrap_gae_u0400;update=400,,980000;981000;982000,64,192,64,,,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Aggregate diagnostic row; not a primary paper result unless promoted after discussion.
phase3_6uav_gu_load_sweep,aggregate__6uav60gu__learned__bootstrap_gae_u0450,method aggregate over 3 eval seed bases,6uav60gu,learned,bootstrap_gae_u0450,learned_policy,,bootstrap_gae,450,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/configs/main_6uav60gu_t250_auto_queue_ref.yaml,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829,,.local_guidance/phase3/data/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_by_method.csv,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_by_method.csv; /home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,scenario=6uav60gu;kind=learned;method=bootstrap_gae_u0450;update=450,,980000;981000;982000,64,192,64,,,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Aggregate diagnostic row; not a primary paper result unless promoted after discussion.
