table_family,row_id,row_scope,scenario,kind,method,method_role,training_seed,return_target,checkpoint_update,config,checkpoint,remote_run_dir,remote_out_dir,local_metrics_file,remote_metrics_file,metrics_row_selector,eval_seed_base,eval_seed_bases,episodes_per_seed,total_episodes,num_envs,git_branch,git_commit,status,reward_sum,reward_mean,reward_std,processed_ratio_eval,processed_mean,drop_ratio_eval,drop_mean,gu_drop_ratio,uav_drop_ratio,sat_drop_ratio,pre_backlog_steps_eval,D_sys_report,queue_total_mean,sat_overlap_eval,sat_overlap_mean,collision_episode_fraction,collision_mean,terminated_early,episode_length,outflow_arrival_ratio,best_learned,best_learned_checkpoint,best_learned_reward_mean,best_baseline,best_baseline_reward_mean,delta_mean,delta_min_across_seeds,rank_mean,rank_min,rank_max,best_update_validation,best_reward_validation,final_update_validation,final_reward_validation,heldout_best_reward,heldout_final_reward,stop_reason,source_row_count,notes
phase3_6uav_gu_load_sweep,6uav40gu__learned__bootstrap_gae_u0400__980000,evaluation seed row,6uav40gu,learned,bootstrap_gae_u0400,learned_policy,45211,bootstrap_gae,400,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/configs/main_6uav40gu_t250_auto_queue_ref.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu/main_6uav80gu_return_targets_seed45211_20260703_022133/bootstrap_seed45211/checkpoint_update0400.pt,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal/6uav40gu/seed980000/bootstrap_gae_u0400,.local_guidance/phase3/data/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,scenario=6uav40gu;kind=learned;method=bootstrap_gae_u0400;seed_base=980000;update=400,980000,,64,64,64,,,ok,36.15820309903938,,,0.5485241311104312,,0.41406094142544747,,0.41406126193776915,0.0,0.0,8.290873545663986,16.01494910004885,663270133.9529736,0.7495744581723466,,0.03125,,0.03125,246.296875,0.557041384923433,,,,,,,,,,,,,,,,,,,Diagnostic GU-load sweep for 6UAV with 40/60 GU; source checkpoint is trained on 6UAV/80GU seed45211 where learned.
phase3_6uav_gu_load_sweep,6uav40gu__learned__bootstrap_gae_u0450__980000,evaluation seed row,6uav40gu,learned,bootstrap_gae_u0450,learned_policy,45211,bootstrap_gae,450,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/configs/main_6uav40gu_t250_auto_queue_ref.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu/main_6uav80gu_return_targets_seed45211_20260703_022133/bootstrap_seed45211/checkpoint_update0450.pt,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal/6uav40gu/seed980000/bootstrap_gae_u0450,.local_guidance/phase3/data/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,scenario=6uav40gu;kind=learned;method=bootstrap_gae_u0450;seed_base=980000;update=450,980000,,64,64,64,,,ok,35.19824958406389,,,0.5406177407640382,,0.4109608540521718,,0.4106100229743581,0.0003510902602707198,0.0,8.800901882721396,17.787668266247763,704073516.2512217,0.526350089599867,,0.0625,,0.0625,240.671875,0.5493238993737884,,,,,,,,,,,,,,,,,,,Diagnostic GU-load sweep for 6UAV with 40/60 GU; source checkpoint is trained on 6UAV/80GU seed45211 where learned.
phase3_6uav_gu_load_sweep,6uav40gu__baseline__cluster_center_queue_aware__980000,evaluation seed row,6uav40gu,baseline,cluster_center_queue_aware,non_learning_baseline,,,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/configs/main_6uav40gu_t250_auto_queue_ref.yaml,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal/6uav40gu/seed980000/cluster_center_queue_aware,.local_guidance/phase3/data/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,scenario=6uav40gu;kind=baseline;method=cluster_center_queue_aware;seed_base=980000,980000,,64,64,64,,,ok,34.53565564507153,,,0.5787059889384779,,0.3520237256670365,,0.3506640656953601,0.0013599196355537435,0.0,10.119363258260753,19.104776043867343,809551709.9047103,0.8097116414948058,,0.0625,,0.0625,235.765625,0.6030558700038555,,,,,,,,,,,,,,,,,,,Diagnostic GU-load sweep for 6UAV with 40/60 GU; source checkpoint is trained on 6UAV/80GU seed45211 where learned.
phase3_6uav_gu_load_sweep,6uav40gu__baseline__maxweight_lyapunov__980000,evaluation seed row,6uav40gu,baseline,maxweight_lyapunov,non_learning_baseline,,,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/configs/main_6uav40gu_t250_auto_queue_ref.yaml,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal/6uav40gu/seed980000/maxweight_lyapunov,.local_guidance/phase3/data/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,scenario=6uav40gu;kind=baseline;method=maxweight_lyapunov;seed_base=980000,980000,,64,64,64,,,ok,30.884955044835806,,,0.5081017063570783,,0.44391678948233726,,0.4438053057919744,0.00011163819858115908,0.0,9.074683889040816,18.68340722924473,725974702.663856,0.9955574843251083,,0.203125,,0.203125,232.484375,0.5150176246356175,,,,,,,,,,,,,,,,,,,Diagnostic GU-load sweep for 6UAV with 40/60 GU; source checkpoint is trained on 6UAV/80GU seed45211 where learned.
phase3_6uav_gu_load_sweep,6uav40gu__baseline__static_uniform__980000,evaluation seed row,6uav40gu,baseline,static_uniform,non_learning_baseline,,,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/configs/main_6uav40gu_t250_auto_queue_ref.yaml,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal/6uav40gu/seed980000/static_uniform,.local_guidance/phase3/data/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,scenario=6uav40gu;kind=baseline;method=static_uniform;seed_base=980000,980000,,64,64,64,,,ok,28.442654906772077,,,0.33422691206261534,,0.5998886325434984,,0.5998889004971873,0.0,0.0,11.978926726177335,42.17957395619527,958314127.0650002,0.48650001757964506,,0.015625,,0.015625,246.109375,0.3348312262268507,,,,,,,,,,,,,,,,,,,Diagnostic GU-load sweep for 6UAV with 40/60 GU; source checkpoint is trained on 6UAV/80GU seed45211 where learned.
phase3_6uav_gu_load_sweep,6uav40gu__learned__bootstrap_gae_u0400__981000,evaluation seed row,6uav40gu,learned,bootstrap_gae_u0400,learned_policy,45211,bootstrap_gae,400,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/configs/main_6uav40gu_t250_auto_queue_ref.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu/main_6uav80gu_return_targets_seed45211_20260703_022133/bootstrap_seed45211/checkpoint_update0400.pt,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal/6uav40gu/seed981000/bootstrap_gae_u0400,.local_guidance/phase3/data/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,scenario=6uav40gu;kind=learned;method=bootstrap_gae_u0400;seed_base=981000;update=400,981000,,64,64,64,,,ok,34.466875013313256,,,0.5577082729265499,,0.38829278432863384,,0.3881908441853546,0.00010214105255093743,0.0,8.169477519694597,15.355768944599346,653558565.3834981,0.7416082151614211,,0.09375,,0.09375,236.59375,0.5653837904114185,,,,,,,,,,,,,,,,,,,Diagnostic GU-load sweep for 6UAV with 40/60 GU; source checkpoint is trained on 6UAV/80GU seed45211 where learned.
phase3_6uav_gu_load_sweep,6uav40gu__learned__bootstrap_gae_u0450__981000,evaluation seed row,6uav40gu,learned,bootstrap_gae_u0450,learned_policy,45211,bootstrap_gae,450,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/configs/main_6uav40gu_t250_auto_queue_ref.yaml,/home/sgy/workspace/sagin_marl/runs/phase3/main_6uav80gu/main_6uav80gu_return_targets_seed45211_20260703_022133/bootstrap_seed45211/checkpoint_update0450.pt,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal/6uav40gu/seed981000/bootstrap_gae_u0450,.local_guidance/phase3/data/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,scenario=6uav40gu;kind=learned;method=bootstrap_gae_u0450;seed_base=981000;update=450,981000,,64,64,64,,,ok,35.282963445060886,,,0.561629108264111,,0.3858373888634647,,0.3857905537500612,4.7111033951862504e-05,0.0,8.85528374081664,17.17529003675841,708423442.9436249,0.5225646041166035,,0.03125,,0.03125,242.21875,0.5690615509234941,,,,,,,,,,,,,,,,,,,Diagnostic GU-load sweep for 6UAV with 40/60 GU; source checkpoint is trained on 6UAV/80GU seed45211 where learned.
phase3_6uav_gu_load_sweep,6uav40gu__baseline__cluster_center_queue_aware__981000,evaluation seed row,6uav40gu,baseline,cluster_center_queue_aware,non_learning_baseline,,,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/configs/main_6uav40gu_t250_auto_queue_ref.yaml,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal/6uav40gu/seed981000/cluster_center_queue_aware,.local_guidance/phase3/data/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,scenario=6uav40gu;kind=baseline;method=cluster_center_queue_aware;seed_base=981000,981000,,64,64,64,,,ok,33.106639199424535,,,0.5947427894732639,,0.31294308375230334,,0.3111363001205667,0.0018071852399665679,0.0,10.134731528834369,18.14248044762987,810779242.5854565,0.8282038399678922,,0.109375,,0.109375,225.828125,0.624828505815001,,,,,,,,,,,,,,,,,,,Diagnostic GU-load sweep for 6UAV with 40/60 GU; source checkpoint is trained on 6UAV/80GU seed45211 where learned.
phase3_6uav_gu_load_sweep,6uav40gu__baseline__maxweight_lyapunov__981000,evaluation seed row,6uav40gu,baseline,maxweight_lyapunov,non_learning_baseline,,,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/configs/main_6uav40gu_t250_auto_queue_ref.yaml,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal/6uav40gu/seed981000/maxweight_lyapunov,.local_guidance/phase3/data/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,scenario=6uav40gu;kind=baseline;method=maxweight_lyapunov;seed_base=981000,981000,,64,64,64,,,ok,29.91598566796165,,,0.5324144000364911,,0.39758636391214575,,0.3975864717630489,0.0,0.0,9.124957855640949,17.906086805151745,729996619.7507509,0.9936455779167406,,0.21875,,0.21875,224.65625,0.5423407288753879,,,,,,,,,,,,,,,,,,,Diagnostic GU-load sweep for 6UAV with 40/60 GU; source checkpoint is trained on 6UAV/80GU seed45211 where learned.
phase3_6uav_gu_load_sweep,6uav40gu__baseline__static_uniform__981000,evaluation seed row,6uav40gu,baseline,static_uniform,non_learning_baseline,,,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/configs/main_6uav40gu_t250_auto_queue_ref.yaml,,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal/6uav40gu/seed981000/static_uniform,.local_guidance/phase3/data/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,/home/sgy/workspace/sagin_marl/runs/phase3/diagnostics/diagnostic_6uav_gu_load_sweep_20260710_155829/formal_summary_all.csv,scenario=6uav40gu;kind=baseline;method=static_uniform;seed_base=981000,981000,,64,64,64,,,ok,28.114228121354245,,,0.35301934714103106,,0.5637024431785529,,0.5633320262743919,0.00037061985348328175,0.0,11.87311795304343,37.20612244676613,949849425.0957501,0.48803751792758693,,0.046875,,0.046875,238.328125,0.3558556200559388,,,,,,,,,,,,,,,,,,,Diagnostic GU-load sweep for 6UAV with 40/60 GU; source checkpoint is trained on 6UAV/80GU seed45211 where learned.
