update,checkpoint_suffix,episodes,reward_sum,bw_weighted_workload_delta_sum,bw_weighted_workload_level_sum,processed_ratio_eval,drop_ratio_eval,pre_backlog_steps_eval,D_sys_report,x_acc_mean,x_rel_mean,g_pre_mean,d_pre_mean,sat_overlap_eval,collision_episode_fraction,fixed_reward_sum,fixed_bw_weighted_workload_delta_sum,fixed_bw_weighted_workload_level_sum,fixed_processed_ratio_eval,fixed_drop_ratio_eval,fixed_pre_backlog_steps_eval,fixed_D_sys_report,fixed_x_acc_mean,fixed_x_rel_mean,fixed_g_pre_mean,fixed_d_pre_mean,fixed_sat_overlap_eval,fixed_collision_episode_fraction,processed_improved,drop_improved,pre_backlog_improved,model_improved,quality_worsened,quality_worse_streak,reward_improved,reward_plateau_streak,collision_gate_passed,quality_early_stop_triggered,reward_early_stop_triggered,early_stop_triggered,method,training_seed,run_label
25,u0025,32.0,32.77783245570026,4079.931380428374,-200726.26020395756,0.4571065006663814,0.4729347782039944,13.751547689476237,38.68059893167011,0.4571064967792844,0.4571065006663814,0.0699600578385866,0.4729347782039944,0.9660920509203108,0.0625,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,10331,seed10331_20260714_121929_bootstrapgae_nocompile
50,u0050,32.0,33.49802487320267,4086.948745071888,-156341.3329885304,0.4906941675684197,0.4424692374183667,13.174436310133125,31.906904447730987,0.4906941654978054,0.4906941675684197,0.0668395750664113,0.4424692374183667,0.8673643743028238,0.0625,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,10331,seed10331_20260714_121929_bootstrapgae_nocompile
75,u0075,32.0,34.78743548039347,4110.10036611557,-127334.65205942094,0.541472308977507,0.3996361649330698,12.318382454263316,26.83822966374351,0.5415108971973615,0.541472308977507,0.058893684341423,0.3996361649330698,0.8266168489722268,0.03125,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,10331,seed10331_20260714_121929_bootstrapgae_nocompile
100,u0100,32.0,36.422604308696464,4184.834972515702,-106577.3588694185,0.5781667279489339,0.3704233986259678,11.746494244292377,23.17129439343512,0.5781848850920794,0.5781667279489339,0.0514121062921584,0.3704233986259678,0.7337187668457629,0.0,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,10331,seed10331_20260714_121929_bootstrapgae_nocompile
125,u0125,32.0,36.860436477465555,4291.243063360453,-100604.10004524888,0.6120484728678132,0.3391914455932993,11.165873053424058,21.376246809534727,0.6120572496368549,0.6120484728678132,0.0487623150405202,0.3391914455932993,0.8722604370899498,0.0,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,10331,seed10331_20260714_121929_bootstrapgae_nocompile
150,u0150,32.0,31.80600787838921,3915.321839943528,-1696647.1583452225,0.6083450475544668,0.3418710352587477,9.899929831013084,20.386751580186186,0.6083450444652696,0.6083450475544668,0.0497861495921165,0.3418710352587477,0.8912916850857439,0.0,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,10331,seed10331_20260714_121929_bootstrapgae_nocompile
175,u0175,32.0,28.55747172818519,3734.516625709832,-3537336.545252785,0.3924424338280224,0.5433984097438879,13.603274949584154,44.166131490979346,0.3924424311020411,0.3924424338280224,0.0641613881513166,0.5433984097438879,0.7958021025583147,0.0,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,10331,seed10331_20260714_121929_bootstrapgae_nocompile
200,u0200,32.0,26.045613152673468,3279.0189895629883,-50190981.53470619,0.3387388560770778,0.5940921142515,14.283426004115492,56.5713130042255,0.3387388532705372,0.3387388560770778,0.0671712644826203,0.5940921142515,0.7265520978868009,0.0,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,10331,seed10331_20260714_121929_bootstrapgae_nocompile
225,u0225,32.0,24.65752143529244,2993.209853887558,-68505609.76282221,0.2871361501215668,0.6382130561379727,15.149948990371684,72.40334990857946,0.2875745133924541,0.2871361501215668,0.0746534636894121,0.6382130561379727,0.6114803488208606,0.09375,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,10331,seed10331_20260714_121929_bootstrapgae_nocompile
250,u0250,32.0,24.96676949854009,3089.640634380281,-71209170.64259568,0.2598750249683507,0.6692236331079474,15.8923300027512,94.50941107296944,0.261744902067061,0.2598750249683507,0.0709035667040832,0.6692236331079474,0.5041041830107569,0.0,32.28481280198321,4519.661455526948,-536593.7463573217,0.4382092664586379,0.4818575640312129,16.5631901928708,42.87186867591738,0.4609209599024616,0.4382092664586379,0.0799353992464774,0.4818575640312129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,STARS-GC,10331,seed10331_20260714_121929_bootstrapgae_nocompile
