file,row_count,table_families,row_scopes,scenario_count,sample_scenarios
phase2_method_validation_checkpoint_selection.csv,6,phase2_method_validation_checkpoint_selection,training-seed checkpoint-selection row,1,3uav20gu_t250_source
phase3_12uav80gu_map_sweep_smoke_rows.csv,8,phase3_12uav80gu_map_sweep_smoke,evaluation seed row,2,map2121_12cluster;map3000_12cluster
phase3_6uav80gu_auto_queue_ref_eval_aggregate_rows.csv,11,phase3_6uav80gu_auto_queue_ref_eval,method aggregate over 3 eval seed bases,1,main_6uav80gu_t250_auto_queue_ref
phase3_6uav80gu_auto_queue_ref_eval_raw_rows.csv,33,phase3_6uav80gu_auto_queue_ref_eval,evaluation seed row,1,main_6uav80gu_t250_auto_queue_ref
phase3_6uav80gu_bootstrap_auto_ref_multiseed_heldout_rows.csv,6,phase3_6uav80gu_bootstrap_auto_ref_multiseed_heldout,held-out checkpoint evaluation row,1,main_6uav80gu_t250_auto_queue_ref
phase3_6uav80gu_bootstrap_auto_ref_multiseed_training_rows.csv,3,phase3_6uav80gu_bootstrap_auto_ref_multiseed_training,training-seed summary row,1,main_6uav80gu_t250_auto_queue_ref
phase3_6uav80gu_fixed_ref_baseline_aggregate_rows.csv,7,phase3_6uav80gu_fixed_ref_baseline,method aggregate over 3 eval seed bases,1,main_6uav80gu_t250_fixed_queue_ref
phase3_6uav80gu_fixed_ref_baseline_raw_rows.csv,21,phase3_6uav80gu_fixed_ref_baseline,evaluation seed row,1,main_6uav80gu_t250_fixed_queue_ref
phase3_6uav80gu_return_target_seed_aligned_eval_rows.csv,6,phase3_6uav80gu_return_target_seed_aligned_eval,evaluation seed row,1,main_6uav80gu_t250_fixed_queue_ref
phase3_6uav80gu_return_target_training_rows.csv,2,phase3_6uav80gu_return_target_training,training run summary row,1,main_6uav80gu_t250_fixed_queue_ref
phase3_6uav_gu_load_sweep_aggregate_rows.csv,10,phase3_6uav_gu_load_sweep,method aggregate over 3 eval seed bases,2,6uav40gu;6uav60gu
phase3_6uav_gu_load_sweep_raw_rows.csv,30,phase3_6uav_gu_load_sweep,evaluation seed row,2,6uav40gu;6uav60gu
phase3_6uav_load_transfer_new_multiseed_aggregate_rows.csv,18,phase3_6uav_load_transfer_new_multiseed,method aggregate over 3 eval seed bases,3,6uav40gu;6uav60gu;6uav80gu
phase3_6uav_load_transfer_new_multiseed_raw_rows.csv,54,phase3_6uav_load_transfer_new_multiseed,evaluation seed row,3,6uav40gu;6uav60gu;6uav80gu
phase3_boundary_scale_robustness_best_rows.csv,2,phase3_boundary_scale_robustness,paper summary row: best learned vs best baseline,2,scale_num_gu30_3uav30gu_t250;scale_num_uav2_2uav20gu_t250
phase3_boundary_scale_robustness_raw_rows.csv,144,phase3_boundary_scale_robustness,evaluation seed row,2,scale_num_gu30_3uav30gu_t250;scale_num_uav2_2uav20gu_t250
phase3_same_scale_zero_shot_best_rows.csv,6,phase3_same_scale_zero_shot,paper summary row: best learned vs best baseline,6,hotspot_sparse_3uav20gu_t250;hotspot_wide_3uav20gu_t250;k10_3uav20gu_t250;load_high_3uav20gu_t250;load_low_3uav20gu_t250;sat_visibility_harder_3uav20gu_t250
phase3_same_scale_zero_shot_raw_rows.csv,162,phase3_same_scale_zero_shot,evaluation seed row,6,hotspot_sparse_3uav20gu_t250;hotspot_wide_3uav20gu_t250;k10_3uav20gu_t250;load_high_3uav20gu_t250;load_low_3uav20gu_t250;sat_visibility_harder_3uav20gu_t250
phase3_scale_transfer_zero_shot_best_rows.csv,6,phase3_scale_transfer_zero_shot,paper summary row: best learned vs best baseline,6,scale_num_gu10_3uav10gu_t250;scale_num_gu30_3uav30gu_t250;scale_num_uav2_2uav20gu_t250;scale_num_uav4_4uav20gu_t250;scale_visible_sats4_3uav20gu_t250;scale_visible_sats8_3uav20gu_t250
phase3_scale_transfer_zero_shot_raw_rows.csv,162,phase3_scale_transfer_zero_shot,evaluation seed row,6,scale_num_gu10_3uav10gu_t250;scale_num_gu30_3uav30gu_t250;scale_num_uav2_2uav20gu_t250;scale_num_uav4_4uav20gu_t250;scale_visible_sats4_3uav20gu_t250;scale_visible_sats8_3uav20gu_t250
phase3_6uav40_density_resource_diagnostic_raw_rows.csv,54,phase3_6uav40_density_resource_diagnostic,evaluation seed row,3,6uav40gu_density_ctrl_map2121_mindist700;6uav40gu_resource_2x_access_backhaul;6uav40gu_density_ctrl_resource_2x
phase3_6uav40_density_resource_diagnostic_aggregate_rows.csv,18,phase3_6uav40_density_resource_diagnostic,method aggregate over 3 eval seed bases,3,6uav40gu_density_ctrl_map2121_mindist700;6uav40gu_resource_2x_access_backhaul;6uav40gu_density_ctrl_resource_2x
phase3_6uav40_density_resource_diagnostic_compact_rows.csv,12,phase3_6uav40_density_resource_diagnostic,scenario/group compact aggregate,3,6uav40gu_density_ctrl_map2121_mindist700;6uav40gu_resource_2x_access_backhaul;6uav40gu_density_ctrl_resource_2x
phase3_6uav40_resource_sweep_baseline_raw_rows.csv,63,phase3_6uav40_resource_sweep_baseline,evaluation seed row,7,6uav40gu_density_ctrl_resource_sweep_x1_x8
phase3_6uav40_resource_sweep_baseline_aggregate_rows.csv,21,phase3_6uav40_resource_sweep_baseline,method aggregate over 3 eval seed bases,7,6uav40gu_density_ctrl_resource_sweep_x1_x8
