t,reward,gu_queue_sum,uav_queue_sum,sat_queue_sum
1.0,0.24299800395965576,7014768.0,17443840.0,0.0
2.0,0.1825377643108368,31220286.0,0.0,0.0
3.0,0.1687442809343338,47728144.0,2214656.0,0.0
4.0,0.16473525762557983,55792592.0,2117120.0,0.0
5.0,0.1659378707408905,53833624.0,14731776.0,0.0
6.0,0.1682007610797882,49641088.0,7474304.0,0.0
7.0,0.17414863407611847,44580476.0,0.0,0.0
8.0,0.18706487119197845,34779796.0,2419456.0,0.0
9.0,0.21419577300548553,19907202.0,4814464.0,0.0
10.0,0.22985485196113586,12929023.0,0.0,0.0
11.0,0.311013400554657,3426895.0,0.0,0.0
12.0,0.8463843464851379,146125.0,0.0,0.0
13.0,0.6327136754989624,524329.0,0.0,0.0
14.0,0.5659346580505371,627413.0,0.0,0.0
15.0,0.7000157237052917,227107.0,0.0,0.0
16.0,0.3078114688396454,6341868.0,0.0,0.0
17.0,0.34663304686546326,3146786.0,0.0,0.0
18.0,1.0,0.0,0.0,0.0
19.0,1.0,0.0,0.0,0.0
20.0,0.9466381072998047,53303.0,0.0,0.0
21.0,1.0,0.0,0.0,0.0
22.0,0.9463661313056946,54990.0,0.0,0.0
23.0,1.0,0.0,0.0,0.0
24.0,1.0,0.0,0.0,0.0
25.0,1.0,0.0,0.0,0.0
26.0,0.9653064012527466,38388.0,0.0,0.0
27.0,1.0,0.0,0.0,0.0
28.0,1.0,0.0,0.0,0.0
29.0,0.9985771179199219,1598.0,0.0,0.0
30.0,0.9539496898651123,55527.0,0.0,0.0
31.0,1.0,0.0,0.0,0.0
32.0,1.0,0.0,0.0,0.0
33.0,1.0,0.0,0.0,0.0
34.0,1.0,0.0,0.0,0.0
35.0,1.0,0.0,0.0,0.0
36.0,0.9897180795669556,11273.0,0.0,0.0
37.0,0.9574620127677917,49431.0,0.0,0.0
38.0,0.7845845818519592,346574.0,0.0,0.0
39.0,0.7463023662567139,448787.0,0.0,0.0
