axis,point,multiplier,total_arrival_mbps,method,checkpoint_kind,training_seed,reward_sum,processed_ratio_eval,drop_ratio_eval,D_sys_report,pre_backlog_steps_eval,queue_total_mean,collision_episode_fraction,paper_label,episodes,eval_seed_bases,source_metrics,metrics_row_selector
load,load_0.5,0.5,20.0,distributed_queue_c,fixed,-1,88.93536631576717,0.9982534498348832,0.0,0.4309980227776295,0.3976170684762782,7952341.2740625,0.0,DQS,64,1980000;1981000,runs/experiments/more_gus_scans/stars_dqs_revised_k1_20260925/figures/per_training_seed.csv,point=load_0.5;method=distributed_queue_c;training_seed=-1;checkpoint_kind=fixed
load,load_0.5,0.5,20.0,maxweight_lyapunov,fixed,-1,97.18452013470232,0.9984628628436476,3.291403806360781e-05,0.5319731426384978,0.4745268362999941,9490536.614125,0.0,Lyapunov,64,1980000;1981000,runs/experiments/more_gus_scans/stars_dqs_revised_k1_20260925/figures/per_training_seed.csv,point=load_0.5;method=maxweight_lyapunov;training_seed=-1;checkpoint_kind=fixed
load,load_0.5,0.5,20.0,queue_aware_bw,fixed,-1,74.9884193977341,0.9406420358903708,0.0277723214424815,6.370217699489749,5.252756613842029,105055131.107,0.0,QBS,64,1980000;1981000,runs/experiments/more_gus_scans/stars_dqs_revised_k1_20260925/figures/per_training_seed.csv,point=load_0.5;method=queue_aware_bw;training_seed=-1;checkpoint_kind=fixed
load,load_0.5,0.5,20.0,stars,selected,45210,235.9631408976857,1.0000025746356695,0.0,0.0654772978252276,0.0528059807232827,1056119.6030625,0.0,STARS,64,1980000;1981000,runs/experiments/more_gus_scans/stars_dqs_revised_k1_20260925/figures/per_training_seed.csv,point=load_0.5;method=stars;training_seed=45210;checkpoint_kind=selected
load,load_0.5,0.5,20.0,stars,selected,45211,243.246927482076,1.0000016265921294,0.0,0.0198045456641829,0.017660731743325,353214.63025,0.0,STARS,64,1980000;1981000,runs/experiments/more_gus_scans/stars_dqs_revised_k1_20260925/figures/per_training_seed.csv,point=load_0.5;method=stars;training_seed=45211;checkpoint_kind=selected
load,load_0.5,0.5,20.0,stars,selected,61723,241.8095930267591,0.9998095148373396,0.0,0.0273931945885451,0.0226854064407046,453708.12325,0.0,STARS,64,1980000;1981000,runs/experiments/more_gus_scans/stars_dqs_revised_k1_20260925/figures/per_training_seed.csv,point=load_0.5;method=stars;training_seed=61723;checkpoint_kind=selected
load,load_0.5,0.5,20.0,static_uniform,fixed,-1,92.44395578757394,0.9159472586540506,0.0562227525863595,6.891752427413014,5.330252370606811,106605046.2386875,0.0,Uniform,64,1980000;1981000,runs/experiments/more_gus_scans/stars_dqs_revised_k1_20260925/figures/per_training_seed.csv,point=load_0.5;method=static_uniform;training_seed=-1;checkpoint_kind=fixed
load,load_0.75,0.75,30.0,distributed_queue_c,fixed,-1,61.31243478995748,0.9980807816851884,0.0,0.5121034061781266,0.4935819253600584,14807458.1133125,0.0,DQS,64,1980000;1981000,runs/experiments/more_gus_scans/stars_dqs_revised_k1_20260925/figures/per_training_seed.csv,point=load_0.75;method=distributed_queue_c;training_seed=-1;checkpoint_kind=fixed
load,load_0.75,0.75,30.0,maxweight_lyapunov,fixed,-1,60.310317254276015,0.9969676169920711,0.0010575965125813,0.748446755110277,0.6935878009229773,20807634.5218125,0.0,Lyapunov,64,1980000;1981000,runs/experiments/more_gus_scans/stars_dqs_revised_k1_20260925/figures/per_training_seed.csv,point=load_0.75;method=maxweight_lyapunov;training_seed=-1;checkpoint_kind=fixed
load,load_0.75,0.75,30.0,queue_aware_bw,fixed,-1,44.27933827438392,0.831443036807701,0.0869250137855384,16.9612018520097,12.389218285196964,371676557.399,0.0,QBS,64,1980000;1981000,runs/experiments/more_gus_scans/stars_dqs_revised_k1_20260925/figures/per_training_seed.csv,point=load_0.75;method=queue_aware_bw;training_seed=-1;checkpoint_kind=fixed
