run_id,date_hint,category,method,experiment_purpose,status,hosts,storage_locations,relative_paths,branch_commits,has_metrics,has_summary,has_checkpoint,has_archive,archive_paths,keep_or_delete,migration_decision,migration_reason,notes
service_forecast_20260925_dev1,20260925,dqs_development,DQS component and service forecast candidates,Locate mobility bottleneck and screen observation-only revision,completed,friday+local,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/dqs_development/service_forecast_20260925_dev1,runs/experiments/dqs_development/service_forecast_20260925_dev1,erik/moreGUs frozen_source=b825e60,yes,yes,no,yes,source.tar on Friday,keep,friday_primary,Development only;old scans unchanged,GPU0;seedbase2190000;18batches;576episodes;T250;32envs;K1;nominal plus load2 plus joint resources0.5;paired arrivals checked
service_forecast_20260925_dev2,20260925,dqs_development,DQS service forecast candidates,Second development seed group before locking candidate,completed,friday+local,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/dqs_development/service_forecast_20260925_dev2,runs/experiments/dqs_development/service_forecast_20260925_dev2,erik/moreGUs frozen_source=b825e60,yes,yes,no,yes,source.tar on Friday,keep,friday_primary,Development only;old scans unchanged,GPU1;seedbase2191000;12batches;384episodes;T250;32envs;K1;candidate forecast_pressure locked before heldout
service_forecast_20260925_heldout,20260925,dqs_development,DQS revised plus old DQS plus MaxWeight,Independent locked-candidate acceptance,completed,friday+local,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/dqs_development/service_forecast_20260925_heldout,runs/experiments/dqs_development/service_forecast_20260925_heldout,erik/moreGUs frozen_source=b825e60,yes,yes,no,yes,source.tar on Friday,keep,friday_primary,No retuning on heldout outcomes,GPU0;2290000/2291000;18batches;576episodes;192revisedDQS episodes;zero collisions;T250;32envs;K1;64episodes per method per point
dqs_production_parity_20260925,20260925,dqs_development,DQS service-forecast-pressure-v1,Check official entry against locked candidate,completed,friday+local,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/dqs_development/dqs_production_parity_20260925,runs/experiments/dqs_development/dqs_production_parity_20260925,erik/moreGUs frozen_source=aee84c9,yes,yes,no,yes,source.tar on Friday,keep,friday_primary,Replays not additional independent evidence,GPU1;2290000/2291000;64nominal episodes;all CSV fields except method label exactly match candidate
dqs_revised_load_20260925,20260925,dqs_development,DQS service-forecast-pressure-v1,Refresh DQS load scan after heldout acceptance,completed,friday+local,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/dqs_development/dqs_revised_load_20260925,runs/experiments/dqs_development/dqs_revised_load_20260925,erik/moreGUs frozen_source=aee84c9,yes,yes,no,yes,source.tar on Friday,keep,friday_primary,Reused screening seeds;not heldout acceptance,GPU1;1980000/1981000;14batches;448episodes;20-80Mbps;all effective configs and paired arrivals verified;zero collisions
dqs_revised_resource_20260925,20260925,dqs_development,DQS service-forecast-pressure-v1,Refresh DQS joint-resource scan after heldout acceptance,completed,friday+local,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/dqs_development/dqs_revised_resource_20260925,runs/experiments/dqs_development/dqs_revised_resource_20260925,erik/moreGUs frozen_source=aee84c9,yes,yes,no,yes,source.tar on Friday,keep,friday_primary,Reused screening seeds;not heldout acceptance,GPU0;1980000/1981000;14batches;448episodes;resources0.5-3;all effective configs and paired arrivals verified;zero collisions
stars_dqs_revised_k1_20260925,20260925,more_gus_scans,STARS plus revised DQS plus MaxWeight plus QBS plus Uniform,New figure artifact replacing only DQS rows,completed,friday+local,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/more_gus_scans/stars_dqs_revised_k1_20260925,runs/experiments/more_gus_scans/stars_dqs_revised_k1_20260925,DQS=aee84c9;controls=717b93d;parent sources recorded,yes,yes,no,no,parent archives retained,keep,friday_primary,Derived overlay;not8960new executions,896newDQS rows plus8064unchanged controls including selected/final;16PNG/PDF pairs;verification passed;original scans preserved
gc_3uav100gu_k1_seed45211_20260924,20260924,more_gus_training,STARS-GC global_only,Critic-only ablation matched to frozen STARS training,completed,friday+local,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/more_gus_training/global_critic_3seed_k1_20260924/seed45211 | local:runs/experiments/more_gus_training/global_critic_3seed_k1_20260924/seed45211,runs/experiments/more_gus_training/global_critic_3seed_k1_20260924/seed45211,erik/moreGUs frozen_source=4c2b4e0,yes,yes,yes,yes,../source.tar shared queue archive,keep,friday_primary,Only critic_value_mode and training seed differ from reference,u375 reward plateau;selected_u50;64episodes per checkpoint;selected/final reward31.322/21.511;processed84.41/29.59percent;collision2/64 and6/64;GC excluded from scan;degradation unresolved;local compact evidence only
gc_3uav100gu_k1_seed45210_20260924,20260924,more_gus_training,STARS-GC global_only,Critic-only ablation matched to frozen STARS training,completed,friday+local,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/more_gus_training/global_critic_3seed_k1_20260924/seed45210 | local:runs/experiments/more_gus_training/global_critic_3seed_k1_20260924/seed45210,runs/experiments/more_gus_training/global_critic_3seed_k1_20260924/seed45210,erik/moreGUs frozen_source=4c2b4e0,yes,yes,yes,yes,../source.tar shared queue archive,keep,friday_primary,Only critic_value_mode and training seed differ from reference,u375 reward plateau;selected_u25;64episodes per checkpoint;selected/final reward34.392/25.970;processed84.02/58.36percent;collision0/64 and5/64;GC excluded from scan;degradation unresolved;local compact evidence only
gc_3uav100gu_k1_seed61723_20260924,20260924,more_gus_training,STARS-GC global_only,Critic-only ablation matched to frozen STARS training,completed,friday+local,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/more_gus_training/global_critic_3seed_k1_20260924/seed61723 | local:runs/experiments/more_gus_training/global_critic_3seed_k1_20260924/seed61723,runs/experiments/more_gus_training/global_critic_3seed_k1_20260924/seed61723,erik/moreGUs frozen_source=4c2b4e0,yes,yes,yes,yes,../source.tar shared queue archive,keep,friday_primary,Only critic_value_mode and training seed differ from reference,u375 reward plateau;selected_u75;64episodes per checkpoint;selected/final reward34.460/24.217;processed84.97/33.18percent;collision0/64 and0/64;GC excluded from scan;degradation unresolved;local compact evidence only
stars_dqs_no_gc_k1_20260924,20260924,more_gus_scans,STARS+DQS+MaxWeight+QBS+Uniform,Load and joint-resource scans before GC completion,failed_recovered,friday,friday:/home/sgy/workspace/sagin_marl_moreGUs/runs/experiments/more_gus_scans/stars_dqs_no_gc_k1_20260924,runs/experiments/more_gus_scans/stars_dqs_no_gc_k1_20260924,erik/moreGUs frozen_source=0b74f86,yes,no,yes,yes,source.tar;checkpoints/,keep,friday_primary,Original failed evidence retained unchanged;see recovered successor,98accepted load batches;first resource0.5DQS rejected due stale b_sat_total alias;failed resource output excluded;98valid batches imported with hashes by successor
